,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta0,-0.776,0.723,-2.096,0.599,0.008,0.007,7547.0,6171.0,1.0
sigma_alpha,0.13,0.02,0.095,0.168,0.0,0.0,3538.0,5225.0,1.0
sigma_g,0.171,0.021,0.132,0.209,0.0,0.0,2821.0,5019.0,1.0
