,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[672356],0.001,0.113,-0.217,0.214,0.001,0.002,19084.0,5681.0,1.0
alpha[608324],-0.044,0.089,-0.204,0.127,0.001,0.001,20644.0,5858.0,1.0
alpha[622761],0.135,0.116,-0.077,0.355,0.001,0.002,14845.0,5046.0,1.0
alpha[668930],0.078,0.104,-0.115,0.269,0.001,0.001,17786.0,5823.0,1.0
alpha[677951],-0.101,0.094,-0.275,0.077,0.001,0.001,18365.0,5562.0,1.0
alpha[671289],-0.063,0.119,-0.294,0.155,0.001,0.002,15003.0,5708.0,1.0
alpha[608070],0.016,0.099,-0.166,0.205,0.001,0.001,18050.0,5684.0,1.0
alpha[687263],-0.041,0.101,-0.226,0.146,0.001,0.001,16212.0,5984.0,1.0
alpha[668904],-0.06,0.111,-0.26,0.156,0.001,0.002,15806.0,5179.0,1.0
alpha[608369],0.063,0.098,-0.122,0.245,0.001,0.001,14645.0,5971.0,1.0
alpha[642715],0.018,0.097,-0.161,0.207,0.001,0.001,16380.0,5109.0,1.0
alpha[596115],0.066,0.121,-0.164,0.29,0.001,0.002,17822.0,5177.0,1.0
alpha[607208],-0.073,0.088,-0.243,0.082,0.001,0.001,19042.0,6050.0,1.0
alpha[641313],-0.111,0.102,-0.309,0.079,0.001,0.001,13132.0,5282.0,1.0
alpha[672478],-0.055,0.121,-0.286,0.168,0.001,0.002,15537.0,5736.0,1.0
alpha[514888],-0.127,0.112,-0.349,0.077,0.001,0.001,16057.0,5502.0,1.0
alpha[671213],-0.055,0.11,-0.267,0.147,0.001,0.002,16802.0,5346.0,1.0
alpha[650402],0.164,0.108,-0.036,0.369,0.001,0.001,11836.0,5491.0,1.0
alpha[672820],-0.058,0.113,-0.258,0.169,0.001,0.002,14925.0,5580.0,1.0
alpha[606466],-0.031,0.105,-0.228,0.17,0.001,0.001,15752.0,5947.0,1.0
alpha[681584],-0.046,0.126,-0.287,0.186,0.001,0.002,17049.0,5538.0,1.0
alpha[669242],0.024,0.112,-0.192,0.23,0.001,0.002,20121.0,5088.0,1.0
alpha[664040],-0.005,0.114,-0.212,0.218,0.001,0.002,18196.0,5811.0,1.0
alpha[681082],-0.026,0.098,-0.207,0.167,0.001,0.001,18448.0,5191.0,1.0
alpha[680911],0.022,0.115,-0.187,0.247,0.001,0.002,19451.0,5806.0,1.0
alpha[643289],0.083,0.12,-0.142,0.314,0.001,0.002,15156.0,5244.0,1.0
alpha[467793],0.081,0.103,-0.116,0.268,0.001,0.001,18149.0,5790.0,1.0
alpha[670042],0.027,0.123,-0.207,0.252,0.001,0.002,20502.0,5408.0,1.0
alpha[647304],0.173,0.118,-0.044,0.397,0.001,0.001,14806.0,5944.0,1.0
alpha[608336],0.02,0.121,-0.21,0.249,0.001,0.002,20322.0,5648.0,1.0
alpha[663697],0.023,0.118,-0.194,0.251,0.001,0.002,19601.0,5206.0,1.0
alpha[668715],0.0,0.108,-0.205,0.198,0.001,0.002,16581.0,5704.0,1.0
alpha[605119],0.086,0.121,-0.133,0.317,0.001,0.002,18865.0,5777.0,1.0
alpha[670712],-0.063,0.126,-0.304,0.172,0.001,0.002,14353.0,5331.0,1.0
alpha[516416],-0.025,0.114,-0.24,0.188,0.001,0.002,18613.0,5475.0,1.0
alpha[600869],0.001,0.098,-0.184,0.182,0.001,0.001,15577.0,5060.0,1.0
alpha[621028],0.035,0.114,-0.174,0.249,0.001,0.002,16680.0,5661.0,1.0
alpha[682928],0.06,0.092,-0.112,0.232,0.001,0.001,15222.0,6003.0,1.0
alpha[606115],-0.08,0.098,-0.272,0.097,0.001,0.001,16319.0,5667.0,1.0
alpha[678246],-0.067,0.115,-0.276,0.157,0.001,0.002,16348.0,5112.0,1.0
alpha[642086],0.023,0.107,-0.17,0.236,0.001,0.001,19698.0,5700.0,1.0
alpha[642133],-0.042,0.103,-0.239,0.149,0.001,0.001,18816.0,6118.0,1.0
alpha[641820],0.001,0.124,-0.235,0.229,0.001,0.002,18263.0,5922.0,1.0
alpha[571448],0.149,0.095,-0.026,0.335,0.001,0.001,13797.0,5854.0,1.0
alpha[666801],0.012,0.121,-0.217,0.232,0.001,0.002,17588.0,5729.0,1.0
alpha[678662],0.085,0.108,-0.127,0.28,0.001,0.001,21904.0,5129.0,1.0
alpha[650333],-0.025,0.106,-0.22,0.179,0.001,0.001,18603.0,5223.0,1.0
alpha[673490],0.107,0.102,-0.087,0.299,0.001,0.001,19381.0,5902.0,1.0
alpha[572233],0.044,0.102,-0.149,0.234,0.001,0.001,19585.0,5892.0,1.0
alpha[671277],-0.016,0.103,-0.207,0.177,0.001,0.001,21001.0,6126.0,1.0
alpha[527038],0.043,0.111,-0.172,0.251,0.001,0.001,17093.0,5770.0,1.0
alpha[664774],0.056,0.11,-0.14,0.273,0.001,0.002,18146.0,5512.0,1.0
alpha[474832],-0.001,0.125,-0.248,0.225,0.001,0.002,20562.0,5428.0,1.0
alpha[543068],0.016,0.12,-0.204,0.244,0.001,0.002,18455.0,5642.0,1.0
alpha[542932],-0.067,0.111,-0.278,0.135,0.001,0.001,17867.0,6021.0,1.0
alpha[571970],0.081,0.101,-0.104,0.275,0.001,0.001,14885.0,5718.0,1.0
alpha[663611],0.081,0.113,-0.131,0.29,0.001,0.001,17138.0,5909.0,1.0
alpha[682829],0.031,0.104,-0.163,0.227,0.001,0.001,13975.0,5756.0,1.0
alpha[669477],-0.099,0.115,-0.315,0.115,0.001,0.001,18291.0,5528.0,1.0
alpha[543760],0.107,0.102,-0.083,0.302,0.001,0.001,15738.0,6123.0,1.0
alpha[669357],-0.088,0.112,-0.293,0.118,0.001,0.002,16802.0,4948.0,1.0
alpha[641355],0.048,0.125,-0.182,0.286,0.001,0.002,14899.0,5029.0,1.0
alpha[676391],0.032,0.111,-0.185,0.235,0.001,0.002,19899.0,5065.0,1.0
alpha[680574],0.027,0.122,-0.198,0.268,0.001,0.002,17055.0,5019.0,1.0
alpha[593160],-0.003,0.116,-0.213,0.231,0.001,0.002,18981.0,5732.0,1.0
alpha[676946],-0.058,0.126,-0.293,0.183,0.001,0.002,18500.0,5458.0,1.0
alpha[643265],0.08,0.123,-0.158,0.307,0.001,0.002,15921.0,5015.0,1.0
alpha[572228],0.029,0.13,-0.219,0.266,0.001,0.002,18706.0,5763.0,1.0
alpha[608841],0.002,0.119,-0.23,0.221,0.001,0.002,19306.0,5828.0,1.0
alpha[664761],-0.113,0.086,-0.273,0.052,0.001,0.001,14708.0,5684.0,1.0
alpha[621550],-0.003,0.109,-0.209,0.202,0.001,0.001,19002.0,5802.0,1.0
alpha[665019],0.003,0.117,-0.209,0.232,0.001,0.002,19200.0,6197.0,1.0
alpha[519058],-0.065,0.117,-0.282,0.155,0.001,0.002,15768.0,5215.0,1.0
alpha[643396],-0.074,0.109,-0.282,0.123,0.001,0.001,19261.0,5231.0,1.0
alpha[656305],-0.165,0.109,-0.367,0.046,0.001,0.001,13008.0,4861.0,1.0
alpha[593428],-0.046,0.098,-0.225,0.146,0.001,0.001,17928.0,5122.0,1.0
alpha[518934],0.066,0.104,-0.131,0.262,0.001,0.001,17588.0,6147.0,1.0
alpha[570482],0.013,0.099,-0.16,0.209,0.001,0.001,17677.0,5911.0,1.0
alpha[641487],0.01,0.103,-0.189,0.201,0.001,0.001,20051.0,5497.0,1.0
alpha[672695],0.034,0.099,-0.152,0.217,0.001,0.001,21913.0,5093.0,1.0
alpha[621043],0.005,0.105,-0.191,0.205,0.001,0.001,17162.0,5004.0,1.0
alpha[677551],0.049,0.114,-0.17,0.26,0.001,0.001,17743.0,5628.0,1.0
alpha[668942],0.21,0.113,0.005,0.429,0.001,0.001,12816.0,4820.0,1.0
alpha[649966],0.058,0.117,-0.163,0.275,0.001,0.002,16956.0,5910.0,1.0
alpha[680869],0.047,0.112,-0.165,0.259,0.001,0.002,18674.0,5713.0,1.0
alpha[665828],0.009,0.108,-0.202,0.206,0.001,0.002,17298.0,5239.0,1.0
alpha[669701],0.008,0.1,-0.181,0.195,0.001,0.001,19200.0,5378.0,1.0
alpha[570731],0.063,0.123,-0.17,0.289,0.001,0.002,17807.0,5756.0,1.0
alpha[593643],0.026,0.125,-0.214,0.258,0.001,0.002,18812.0,5787.0,1.0
alpha[665155],0.003,0.116,-0.214,0.216,0.001,0.002,18674.0,5159.0,1.0
alpha[683146],-0.145,0.104,-0.336,0.055,0.001,0.001,11526.0,5531.0,1.0
alpha[663837],-0.022,0.111,-0.241,0.177,0.001,0.002,20373.0,4985.0,1.0
alpha[677649],-0.065,0.111,-0.275,0.147,0.001,0.001,16792.0,6124.0,1.0
alpha[669397],-0.053,0.107,-0.257,0.148,0.001,0.001,16513.0,5638.0,1.0
alpha[605113],0.02,0.111,-0.193,0.224,0.001,0.001,19661.0,5879.0,1.0
alpha[655316],0.094,0.112,-0.123,0.299,0.001,0.002,17914.0,4601.0,1.0
alpha[683011],0.253,0.106,0.062,0.454,0.001,0.001,11224.0,5788.0,1.0
alpha[595879],-0.037,0.101,-0.233,0.145,0.001,0.001,15001.0,5632.0,1.0
alpha[665161],0.063,0.099,-0.12,0.247,0.001,0.001,16034.0,5992.0,1.0
alpha[660644],0.017,0.117,-0.21,0.231,0.001,0.002,20345.0,5312.0,1.0
alpha[462101],0.019,0.116,-0.195,0.23,0.001,0.002,20771.0,5060.0,1.0
alpha[656716],-0.01,0.107,-0.203,0.19,0.001,0.001,20340.0,6174.0,1.0
alpha[683002],0.093,0.092,-0.075,0.27,0.001,0.001,16452.0,5414.0,1.0
alpha[666152],-0.03,0.113,-0.244,0.184,0.001,0.001,19305.0,5842.0,1.0
alpha[596019],0.045,0.097,-0.139,0.22,0.001,0.001,19560.0,5685.0,1.0
alpha[686681],-0.1,0.112,-0.311,0.106,0.001,0.002,18117.0,5535.0,1.0
alpha[689172],0.031,0.121,-0.199,0.256,0.001,0.002,15413.0,5338.0,1.0
alpha[642731],0.005,0.108,-0.201,0.206,0.001,0.001,19929.0,5705.0,1.0
alpha[665877],-0.041,0.126,-0.299,0.187,0.001,0.002,19212.0,5311.0,1.0
alpha[594777],0.003,0.124,-0.225,0.24,0.001,0.002,17676.0,5806.0,1.0
alpha[676475],0.011,0.127,-0.22,0.257,0.001,0.002,19360.0,6149.0,1.0
alpha[676116],-0.051,0.112,-0.265,0.164,0.001,0.002,17166.0,6210.0,1.0
alpha[665120],-0.005,0.125,-0.234,0.24,0.001,0.002,18736.0,5211.0,1.0
alpha[683737],0.048,0.111,-0.155,0.257,0.001,0.002,20147.0,5230.0,1.0
alpha[500743],-0.049,0.105,-0.247,0.155,0.001,0.001,16588.0,5446.0,1.0
alpha[660620],0.006,0.125,-0.23,0.238,0.001,0.002,16552.0,5583.0,1.0
alpha[691026],0.001,0.101,-0.192,0.187,0.001,0.001,19632.0,5509.0,1.0
alpha[641645],0.008,0.119,-0.214,0.226,0.001,0.002,19933.0,4922.0,1.0
alpha[680977],0.03,0.113,-0.188,0.242,0.001,0.002,17771.0,4828.0,1.0
alpha[624428],-0.02,0.11,-0.221,0.186,0.001,0.001,21167.0,5994.0,1.0
alpha[645277],0.103,0.11,-0.099,0.311,0.001,0.001,19305.0,6026.0,1.0
alpha[683734],0.104,0.103,-0.096,0.291,0.001,0.001,15008.0,5300.0,1.0
alpha[543685],-0.014,0.116,-0.238,0.2,0.001,0.002,16132.0,5761.0,1.0
alpha[672724],-0.056,0.121,-0.282,0.168,0.001,0.002,17801.0,5430.0,1.0
alpha[607054],-0.076,0.111,-0.282,0.134,0.001,0.002,17796.0,5344.0,1.0
alpha[669394],-0.11,0.1,-0.289,0.088,0.001,0.001,19203.0,5213.0,1.0
alpha[649557],-0.07,0.115,-0.288,0.139,0.001,0.002,18405.0,5582.0,1.0
alpha[518626],0.031,0.119,-0.19,0.255,0.001,0.002,17476.0,5444.0,1.0
alpha[657557],0.046,0.101,-0.14,0.242,0.001,0.001,18006.0,5766.0,1.0
alpha[666182],0.033,0.111,-0.167,0.246,0.001,0.001,18777.0,5142.0,1.0
alpha[642708],-0.055,0.111,-0.262,0.151,0.001,0.001,18254.0,5613.0,1.0
alpha[670156],-0.072,0.116,-0.294,0.141,0.001,0.002,18786.0,5457.0,1.0
alpha[665833],-0.025,0.109,-0.233,0.178,0.001,0.002,17652.0,4646.0,1.0
alpha[650489],-0.073,0.116,-0.289,0.139,0.001,0.002,17786.0,5377.0,1.0
alpha[665926],0.136,0.109,-0.067,0.343,0.001,0.001,13590.0,5410.0,1.0
alpha[663624],-0.022,0.108,-0.228,0.173,0.001,0.002,16014.0,5440.0,1.0
alpha[666906],0.005,0.126,-0.224,0.249,0.001,0.002,17253.0,6091.0,1.0
alpha[656308],0.009,0.128,-0.237,0.251,0.001,0.002,16822.0,5240.0,1.0
alpha[679845],-0.016,0.122,-0.239,0.217,0.001,0.002,20129.0,5410.0,1.0
alpha[677587],-0.024,0.114,-0.24,0.189,0.001,0.002,17314.0,5491.0,1.0
alpha[456781],-0.095,0.117,-0.32,0.114,0.001,0.002,16251.0,5512.0,1.0
alpha[676701],-0.062,0.121,-0.297,0.166,0.001,0.002,14998.0,5648.0,1.0
alpha[641531],0.046,0.129,-0.186,0.298,0.001,0.002,16707.0,5393.0,1.0
alpha[666703],-0.013,0.128,-0.244,0.234,0.001,0.002,19073.0,5309.0,1.0
alpha[669304],0.002,0.109,-0.205,0.207,0.001,0.001,18073.0,5937.0,1.0
alpha[543281],-0.093,0.126,-0.338,0.137,0.001,0.002,13291.0,5056.0,1.0
alpha[669222],-0.065,0.111,-0.278,0.134,0.001,0.001,17935.0,5773.0,1.0
alpha[666198],-0.064,0.128,-0.298,0.174,0.001,0.002,17348.0,5526.0,1.0
alpha[621020],0.154,0.098,-0.022,0.343,0.001,0.001,14494.0,5198.0,1.0
alpha[543063],-0.01,0.112,-0.224,0.197,0.001,0.002,22200.0,5492.0,1.0
alpha[621563],0.025,0.119,-0.205,0.236,0.001,0.002,17574.0,5530.0,1.0
alpha[676480],-0.03,0.127,-0.28,0.204,0.001,0.002,19226.0,5280.0,1.0
alpha[593871],0.093,0.116,-0.123,0.308,0.001,0.002,17516.0,6012.0,1.0
alpha[628451],0.019,0.12,-0.199,0.249,0.001,0.002,23330.0,4874.0,1.0
alpha[643393],0.027,0.122,-0.214,0.246,0.001,0.002,19481.0,6416.0,1.0
alpha[676059],-0.063,0.108,-0.273,0.135,0.001,0.002,19084.0,5120.0,1.0
alpha[663898],-0.011,0.115,-0.228,0.205,0.001,0.002,19627.0,6050.0,1.0
alpha[624414],-0.003,0.126,-0.228,0.251,0.001,0.002,18749.0,5398.0,1.0
alpha[624415],-0.015,0.115,-0.237,0.196,0.001,0.002,21249.0,5855.0,1.0
alpha[641343],0.1,0.125,-0.135,0.33,0.001,0.002,15545.0,5161.0,1.0
alpha[660707],-0.06,0.118,-0.281,0.168,0.001,0.002,18468.0,5492.0,1.0
alpha[663538],-0.04,0.095,-0.214,0.141,0.001,0.001,17146.0,5229.0,1.0
alpha[666397],0.087,0.122,-0.13,0.327,0.001,0.002,17682.0,5110.0,1.0
alpha[664034],-0.016,0.106,-0.22,0.18,0.001,0.002,17887.0,5435.0,1.0
alpha[547989],0.007,0.117,-0.218,0.222,0.001,0.002,14190.0,5077.0,1.0
alpha[668472],0.078,0.123,-0.157,0.306,0.001,0.002,17324.0,6053.0,1.0
alpha[571771],0.008,0.104,-0.185,0.204,0.001,0.001,18716.0,5508.0,1.0
alpha[644374],-0.028,0.124,-0.26,0.213,0.001,0.002,14927.0,5246.0,1.0
alpha[543939],0.064,0.12,-0.162,0.29,0.001,0.002,19944.0,5252.0,1.0
alpha[519203],-0.037,0.109,-0.251,0.161,0.001,0.002,16807.0,5089.0,1.0
alpha[518692],-0.172,0.107,-0.373,0.029,0.001,0.001,13344.0,6191.0,1.0
alpha[502671],-0.148,0.103,-0.345,0.042,0.001,0.001,14966.0,5659.0,1.0
alpha[622110],-0.023,0.119,-0.256,0.196,0.001,0.002,16468.0,6055.0,1.0
alpha[446334],0.046,0.12,-0.172,0.281,0.001,0.002,15173.0,5337.0,1.0
alpha[641857],0.058,0.103,-0.134,0.252,0.001,0.001,18823.0,5834.0,1.0
alpha[672779],-0.028,0.123,-0.258,0.212,0.001,0.002,19997.0,5368.0,1.0
alpha[545121],-0.037,0.109,-0.238,0.175,0.001,0.002,17505.0,5378.0,1.0
alpha[678894],0.032,0.123,-0.197,0.262,0.001,0.002,18572.0,5460.0,1.0
alpha[678225],-0.045,0.125,-0.288,0.177,0.001,0.002,18430.0,5723.0,1.0
alpha[630105],0.014,0.104,-0.179,0.211,0.001,0.001,17494.0,5806.0,1.0
alpha[624413],-0.105,0.106,-0.298,0.098,0.001,0.001,17778.0,5681.0,1.0
alpha[663796],-0.006,0.131,-0.258,0.235,0.001,0.002,21767.0,4760.0,1.0
alpha[669707],0.058,0.106,-0.134,0.263,0.001,0.001,19878.0,5641.0,1.0
alpha[693304],-0.055,0.113,-0.273,0.153,0.001,0.002,17084.0,5136.0,1.0
alpha[664913],0.001,0.123,-0.244,0.223,0.001,0.002,18675.0,5936.0,1.0
alpha[643446],0.061,0.115,-0.147,0.286,0.001,0.002,18551.0,6176.0,1.0
alpha[663993],0.084,0.109,-0.122,0.29,0.001,0.001,16961.0,5832.0,1.0
alpha[675656],0.018,0.123,-0.215,0.239,0.001,0.002,16807.0,5491.0,1.0
alpha[666134],-0.029,0.126,-0.262,0.217,0.001,0.002,16907.0,5816.0,1.0
alpha[656669],-0.011,0.127,-0.245,0.233,0.001,0.002,18660.0,5676.0,1.0
alpha[571976],-0.007,0.133,-0.242,0.256,0.001,0.002,17576.0,5523.0,1.0
alpha[682622],-0.022,0.115,-0.234,0.199,0.001,0.001,20219.0,5946.0,1.0
alpha[596059],-0.068,0.127,-0.298,0.181,0.001,0.002,16411.0,5431.0,1.0
alpha[605141],-0.05,0.114,-0.273,0.155,0.001,0.002,17883.0,5374.0,1.0
alpha[621545],0.012,0.123,-0.221,0.24,0.001,0.002,20406.0,5881.0,1.0
alpha[679529],0.011,0.108,-0.19,0.211,0.001,0.001,19324.0,5460.0,1.0
alpha[682617],0.013,0.127,-0.219,0.257,0.001,0.002,20926.0,5771.0,1.0
alpha[621035],0.023,0.116,-0.189,0.25,0.001,0.002,17148.0,5648.0,1.0
alpha[666624],-0.149,0.113,-0.355,0.073,0.001,0.001,14519.0,5815.0,1.0
alpha[592273],-0.043,0.112,-0.242,0.176,0.001,0.001,18676.0,6285.0,1.0
alpha[676609],0.025,0.108,-0.169,0.239,0.001,0.001,21673.0,5925.0,1.0
alpha[607461],0.019,0.128,-0.216,0.26,0.001,0.002,16048.0,5856.0,1.0
alpha[670032],0.034,0.113,-0.179,0.245,0.001,0.002,20047.0,5889.0,1.0
alpha[457759],-0.042,0.118,-0.258,0.177,0.001,0.002,17394.0,5040.0,1.0
alpha[686469],0.115,0.116,-0.104,0.336,0.001,0.002,15897.0,5678.0,1.0
alpha[571875],0.022,0.127,-0.215,0.271,0.001,0.002,17093.0,5667.0,1.0
alpha[521692],0.046,0.123,-0.199,0.267,0.001,0.002,17437.0,5871.0,1.0
alpha[622569],-0.023,0.123,-0.265,0.199,0.001,0.002,17878.0,5408.0,1.0
alpha[687093],-0.08,0.125,-0.311,0.155,0.001,0.002,17061.0,5423.0,1.0
alpha[600301],0.03,0.129,-0.206,0.277,0.001,0.002,15775.0,5593.0,1.0
alpha[670097],0.017,0.115,-0.197,0.236,0.001,0.002,18512.0,5874.0,1.0
alpha[621566],0.089,0.109,-0.114,0.298,0.001,0.002,15265.0,5457.0,1.0
alpha[670223],0.041,0.125,-0.189,0.277,0.001,0.002,20581.0,6119.0,1.0
alpha[623912],-0.01,0.13,-0.264,0.227,0.001,0.002,17972.0,4939.0,1.0
alpha[663897],0.053,0.127,-0.182,0.297,0.001,0.002,17466.0,5663.0,1.0
alpha[605612],-0.023,0.122,-0.254,0.21,0.001,0.002,15915.0,5505.0,1.0
alpha[675961],-0.009,0.122,-0.243,0.216,0.001,0.002,21449.0,5655.0,1.0
alpha[656582],0.048,0.115,-0.172,0.264,0.001,0.002,15554.0,5618.0,1.0
alpha[642180],-0.01,0.119,-0.224,0.218,0.001,0.002,18314.0,5667.0,1.0
alpha[542208],0.01,0.129,-0.233,0.255,0.001,0.002,18374.0,5441.0,1.0
alpha[665489],-0.001,0.106,-0.209,0.191,0.001,0.001,16546.0,5453.0,1.0
alpha[663853],0.04,0.12,-0.177,0.274,0.001,0.002,18102.0,5451.0,1.0
alpha[595777],0.018,0.131,-0.235,0.258,0.001,0.002,18895.0,5815.0,1.0
alpha[686531],-0.006,0.129,-0.258,0.234,0.001,0.002,19376.0,5182.0,1.0
alpha[678545],-0.007,0.126,-0.249,0.225,0.001,0.002,19918.0,4910.0,1.0
alpha[681146],-0.029,0.12,-0.25,0.2,0.001,0.002,17413.0,5595.0,1.0
alpha[650490],-0.077,0.114,-0.299,0.133,0.001,0.002,20074.0,5084.0,1.0
alpha[656811],-0.022,0.118,-0.244,0.204,0.001,0.002,18396.0,5556.0,1.0
alpha[664238],0.067,0.118,-0.135,0.313,0.001,0.002,15923.0,5273.0,1.0
alpha[676724],0.01,0.127,-0.227,0.253,0.001,0.002,18786.0,5077.0,1.0
alpha[663527],-0.042,0.121,-0.266,0.184,0.001,0.002,19603.0,5738.0,1.0
alpha[657757],0.027,0.122,-0.196,0.26,0.001,0.002,22218.0,5687.0,1.0
alpha[687952],-0.037,0.123,-0.277,0.184,0.001,0.002,15554.0,5494.0,1.0
alpha[572138],0.008,0.118,-0.206,0.232,0.001,0.002,22215.0,5776.0,1.0
alpha[666915],0.025,0.127,-0.218,0.26,0.001,0.002,15296.0,5367.0,1.0
alpha[677588],-0.065,0.12,-0.287,0.164,0.001,0.002,16726.0,5306.0,1.0
alpha[493329],-0.018,0.117,-0.245,0.196,0.001,0.002,21666.0,5302.0,1.0
alpha[669742],-0.006,0.126,-0.233,0.242,0.001,0.002,17644.0,5432.0,1.0
alpha[641658],0.057,0.122,-0.178,0.284,0.001,0.002,18692.0,6247.0,1.0
alpha[668901],0.009,0.105,-0.192,0.198,0.001,0.001,17067.0,5812.0,1.0
alpha[664901],-0.06,0.125,-0.293,0.174,0.001,0.002,16273.0,5630.0,1.0
alpha[666018],0.012,0.126,-0.217,0.26,0.001,0.002,16078.0,5560.0,1.0
alpha[642215],-0.014,0.128,-0.254,0.23,0.001,0.002,20660.0,6064.0,1.0
alpha[669364],-0.08,0.118,-0.318,0.132,0.001,0.002,17117.0,5584.0,1.0
alpha[547180],0.093,0.107,-0.106,0.294,0.001,0.001,18972.0,5411.0,1.0
alpha[595909],0.026,0.13,-0.227,0.264,0.001,0.002,18582.0,5293.0,1.0
alpha[624503],0.011,0.13,-0.227,0.256,0.001,0.002,16853.0,5518.0,1.0
alpha[458015],-0.005,0.126,-0.242,0.238,0.001,0.002,17581.0,5451.0,1.0
alpha[678554],-0.026,0.125,-0.262,0.206,0.001,0.002,19562.0,5062.0,1.0
alpha[608703],-0.027,0.133,-0.289,0.216,0.001,0.002,17465.0,4917.0,1.0
alpha[664029],-0.018,0.124,-0.256,0.213,0.001,0.002,19672.0,5783.0,1.0
alpha[691783],0.017,0.128,-0.223,0.263,0.001,0.002,18770.0,5539.0,1.0
alpha[605137],0.061,0.117,-0.154,0.29,0.001,0.002,17043.0,5349.0,1.0
alpha[694384],-0.052,0.118,-0.272,0.177,0.001,0.002,16145.0,4634.0,1.0
alpha[678882],-0.013,0.115,-0.218,0.211,0.001,0.002,17388.0,5761.0,1.0
alpha[623205],0.0,0.125,-0.237,0.233,0.001,0.002,17501.0,5621.0,1.0
alpha[682073],-0.011,0.127,-0.253,0.227,0.001,0.002,15820.0,5752.0,1.0
alpha[542583],0.001,0.128,-0.237,0.248,0.001,0.002,19553.0,4896.0,1.0
alpha[687401],-0.035,0.107,-0.251,0.157,0.001,0.001,19716.0,5453.0,1.0
alpha[665839],-0.003,0.119,-0.226,0.215,0.001,0.002,21535.0,5455.0,1.0
alpha[663550],-0.005,0.129,-0.261,0.223,0.001,0.002,17262.0,6147.0,1.0
alpha[663845],0.002,0.126,-0.227,0.253,0.001,0.002,16770.0,5354.0,1.0
alpha[677595],0.04,0.128,-0.191,0.291,0.001,0.002,16762.0,5809.0,1.0
alpha[691016],-0.033,0.122,-0.275,0.185,0.001,0.002,18969.0,5510.0,1.0
alpha[676070],0.026,0.128,-0.218,0.266,0.001,0.002,17310.0,5268.0,1.0
alpha[676914],0.017,0.125,-0.23,0.242,0.001,0.002,14675.0,5341.0,1.0
alpha[656821],-0.012,0.132,-0.257,0.239,0.001,0.002,18610.0,5378.0,1.0
alpha[666197],0.025,0.13,-0.209,0.279,0.001,0.002,18745.0,5768.0,1.0
alpha[622666],0.029,0.128,-0.217,0.27,0.001,0.002,18591.0,4745.0,1.0
alpha[572761],0.013,0.13,-0.228,0.257,0.001,0.002,20589.0,5636.0,1.0
alpha[572008],-0.02,0.134,-0.27,0.231,0.001,0.002,18977.0,4994.0,1.0
alpha[676632],-0.008,0.128,-0.26,0.229,0.001,0.002,16474.0,5298.0,1.0
alpha[673237],-0.044,0.131,-0.301,0.2,0.001,0.002,17778.0,5760.0,1.0
alpha[683021],0.031,0.129,-0.197,0.293,0.001,0.002,20328.0,5564.0,1.0
alpha[668952],0.044,0.124,-0.178,0.292,0.001,0.002,19207.0,5498.0,1.0
alpha[641525],0.015,0.132,-0.236,0.258,0.001,0.002,17892.0,5687.0,1.0
alpha[596847],0.001,0.131,-0.238,0.258,0.001,0.002,19838.0,5693.0,1.0
alpha[669911],-0.019,0.117,-0.236,0.202,0.001,0.002,17370.0,5577.0,1.0
alpha[666135],-0.059,0.126,-0.293,0.189,0.001,0.002,14277.0,5134.0,1.0
alpha[656371],0.01,0.128,-0.231,0.249,0.001,0.002,20439.0,5543.0,1.0
alpha[592192],0.031,0.123,-0.193,0.271,0.001,0.002,16501.0,5374.0,1.0
alpha[679631],-0.023,0.13,-0.263,0.229,0.001,0.002,18513.0,5688.0,1.0
alpha[578570],0.01,0.132,-0.243,0.257,0.001,0.002,16887.0,5615.0,1.0
alpha[666149],0.005,0.117,-0.217,0.223,0.001,0.001,16067.0,5736.0,1.0
alpha[656403],-0.01,0.132,-0.266,0.229,0.001,0.002,19851.0,5187.0,1.0
alpha[664059],0.015,0.129,-0.225,0.258,0.001,0.002,17734.0,5960.0,1.0
alpha[691406],0.029,0.123,-0.196,0.269,0.001,0.002,16851.0,5128.0,1.0
alpha[660634],-0.015,0.127,-0.256,0.224,0.001,0.002,17040.0,5673.0,1.0
alpha[647351],-0.051,0.115,-0.276,0.153,0.001,0.002,17767.0,5605.0,1.0
alpha[657136],-0.031,0.13,-0.276,0.211,0.001,0.002,15772.0,5337.0,1.0
alpha[676761],-0.001,0.133,-0.245,0.256,0.001,0.002,19968.0,5581.0,1.0
alpha[669023],-0.028,0.131,-0.286,0.21,0.001,0.002,17777.0,5297.0,1.0
alpha[623507],-0.019,0.131,-0.263,0.23,0.001,0.002,19716.0,5324.0,1.0
alpha[656484],0.007,0.128,-0.225,0.257,0.001,0.002,19794.0,5209.0,1.0
alpha[543877],0.025,0.131,-0.215,0.283,0.001,0.002,18881.0,5616.0,1.0
alpha[613564],-0.05,0.128,-0.305,0.182,0.001,0.002,20875.0,5260.0,1.0
alpha[669392],-0.018,0.13,-0.264,0.225,0.001,0.002,16794.0,5581.0,1.0
alpha[656976],-0.004,0.13,-0.236,0.252,0.001,0.002,17272.0,5447.0,1.0
alpha[543333],-0.02,0.133,-0.269,0.24,0.001,0.002,18873.0,5467.0,1.0
alpha[543482],0.003,0.133,-0.257,0.241,0.001,0.002,17919.0,5207.0,1.0
