,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g[682617],-0.028,0.165,-0.344,0.274,0.001,0.002,17832.0,5667.0,1.0
g[621035],0.145,0.138,-0.109,0.402,0.001,0.002,15814.0,5355.0,1.0
g[666624],-0.174,0.117,-0.398,0.04,0.001,0.002,17775.0,5919.0,1.0
g[592273],0.055,0.133,-0.187,0.316,0.001,0.002,19414.0,5090.0,1.0
g[676609],0.134,0.137,-0.12,0.397,0.001,0.002,21104.0,5627.0,1.0
g[607461],0.048,0.166,-0.269,0.358,0.001,0.002,17321.0,6190.0,1.0
g[670032],0.031,0.138,-0.228,0.28,0.001,0.002,21424.0,5856.0,1.0
g[457759],0.015,0.15,-0.258,0.303,0.001,0.002,20284.0,5201.0,1.0
g[686469],0.107,0.133,-0.138,0.366,0.001,0.002,18371.0,5581.0,1.0
g[571875],0.013,0.164,-0.277,0.347,0.001,0.002,20116.0,5526.0,1.0
g[521692],0.029,0.156,-0.265,0.324,0.001,0.002,20568.0,4281.0,1.0
g[622569],-0.021,0.156,-0.309,0.285,0.001,0.002,18050.0,5747.0,1.0
g[687093],-0.036,0.168,-0.351,0.276,0.001,0.002,20175.0,5424.0,1.0
g[600301],-0.052,0.165,-0.376,0.247,0.001,0.002,20573.0,5157.0,1.0
g[670097],-0.003,0.144,-0.271,0.27,0.001,0.002,16865.0,5228.0,1.0
g[621566],-0.023,0.112,-0.238,0.183,0.001,0.002,19542.0,5063.0,1.0
g[670223],0.046,0.145,-0.221,0.327,0.001,0.002,17790.0,5631.0,1.0
g[623912],-0.015,0.176,-0.33,0.327,0.001,0.002,18565.0,5207.0,1.0
g[663897],-0.032,0.163,-0.329,0.283,0.001,0.002,19608.0,5469.0,1.0
g[605612],-0.037,0.16,-0.32,0.272,0.001,0.002,16976.0,6094.0,1.0
g[675961],-0.026,0.162,-0.321,0.286,0.001,0.002,19862.0,5747.0,1.0
g[656582],0.2,0.133,-0.047,0.448,0.001,0.002,15813.0,5677.0,1.0
g[642180],0.004,0.149,-0.277,0.282,0.001,0.002,19640.0,5055.0,1.0
g[542208],-0.01,0.168,-0.335,0.294,0.001,0.002,16437.0,5592.0,1.0
g[665489],0.16,0.125,-0.074,0.395,0.001,0.002,15840.0,5204.0,1.0
g[663853],0.195,0.147,-0.065,0.487,0.001,0.002,14955.0,5444.0,1.0
g[595777],0.032,0.168,-0.276,0.352,0.001,0.002,19843.0,5374.0,1.0
g[686531],-0.017,0.16,-0.306,0.29,0.001,0.002,18968.0,5152.0,1.0
g[678545],-0.038,0.171,-0.375,0.27,0.001,0.002,19501.0,5337.0,1.0
g[681146],0.054,0.141,-0.207,0.32,0.001,0.002,18507.0,5546.0,1.0
g[650490],0.01,0.131,-0.251,0.249,0.001,0.002,15741.0,5508.0,1.0
g[656811],0.244,0.137,-0.019,0.493,0.001,0.002,13703.0,5675.0,1.0
g[664238],0.028,0.137,-0.231,0.288,0.001,0.002,18506.0,5706.0,1.0
g[676724],0.055,0.163,-0.238,0.371,0.001,0.002,20445.0,5920.0,1.0
g[663527],-0.142,0.149,-0.421,0.135,0.001,0.002,21950.0,5902.0,1.0
g[657757],0.086,0.147,-0.205,0.354,0.001,0.002,16992.0,5041.0,1.0
g[687952],-0.016,0.162,-0.331,0.279,0.001,0.002,18319.0,5387.0,1.0
g[572138],0.033,0.145,-0.23,0.313,0.001,0.002,15381.0,5391.0,1.0
g[666915],0.097,0.164,-0.195,0.419,0.001,0.002,18191.0,6040.0,1.0
g[677588],0.061,0.152,-0.222,0.359,0.001,0.002,19350.0,5214.0,1.0
g[493329],0.139,0.143,-0.122,0.418,0.001,0.002,15334.0,5085.0,1.0
g[669742],0.05,0.166,-0.257,0.371,0.001,0.002,17815.0,5067.0,1.0
g[641658],0.005,0.156,-0.297,0.295,0.001,0.002,19864.0,5538.0,1.0
g[668901],-0.149,0.119,-0.364,0.082,0.001,0.002,18500.0,5239.0,1.0
g[664901],0.047,0.149,-0.235,0.329,0.001,0.002,17830.0,5494.0,1.0
g[666018],-0.039,0.162,-0.353,0.265,0.001,0.002,19287.0,5172.0,1.0
