player_id,alpha,g
669289,0.041437,0.016679
656896,-0.16108,-0.125786
673962,0.057076,-0.02216
571657,-0.080031,0.010401
663586,0.068273,0.134623
660162,-0.003936,-0.228115
624641,-0.066531,-0.179684
672580,0.039337,0.067855
592518,0.122116,0.017376
646240,-0.079159,0.125799
650859,-0.067347,0.013818
553993,0.032166,-0.04747
605204,-0.195643,-0.03369
670623,0.08816,0.14316
663647,0.073753,0.051193
664058,-0.014566,0.038902
670764,0.02776,-0.080377
602104,-0.01502,-0.111271
500871,-0.059269,0.161151
672356,0.000757,0.043538
608324,-0.044001,0.24009
622761,0.134754,-0.007378
668930,0.077921,-0.027872
677951,-0.100663,-0.004019
671289,-0.062554,0.002882
608070,0.016064,-0.05237
687263,-0.041486,-0.000184
668904,-0.059787,0.080247
608369,0.062593,-0.131701
642715,0.017537,-0.078565
596115,0.066048,-0.01243
607208,-0.072652,-0.266697
641313,-0.110586,-0.109839
672478,-0.055025,-0.00122
514888,-0.126535,-0.032817
671213,-0.055335,-0.031441
650402,0.164074,0.005831
672820,-0.057755,-0.132106
606466,-0.030856,-0.123585
681584,-0.046482,-0.068802
669242,0.024355,-0.181693
664040,-0.004596,0.155664
681082,-0.026075,-0.156955
680911,0.022101,-0.103299
643289,0.083318,0.131353
467793,0.080951,0.041422
670042,0.02733,-0.017846
647304,0.173267,-0.001073
608336,0.019764,-0.002424
663697,0.023069,-0.067273
668715,0.000228,0.012611
605119,0.085642,-0.151294
670712,-0.063178,0.080225
516416,-0.024836,0.005871
600869,0.001498,-0.117156
621028,0.034663,-0.031891
682928,0.060182,-0.156677
606115,-0.079642,-0.157142
678246,-0.067445,-0.002344
642086,0.023455,0.274225
642133,-0.042071,0.199063
641820,0.001344,0.123143
571448,0.149146,-0.022022
666801,0.011981,-0.047008
678662,0.084753,-0.072737
650333,-0.024738,0.093716
673490,0.106804,-0.188413
572233,0.043988,0.185969
671277,-0.015662,-0.08969
527038,0.042848,0.055407
664774,0.056234,0.179749
474832,-0.00136,-0.033311
543068,0.016075,0.079947
542932,-0.067339,-0.121239
571970,0.081487,0.237191
663611,0.080604,0.008129
682829,0.03128,-0.046653
669477,-0.098509,-0.05508
543760,0.10737,-0.021114
669357,-0.087797,0.017738
641355,0.047748,-0.026645
676391,0.032287,-0.052609
680574,0.027393,-0.137948
593160,-0.002532,0.095659
676946,-0.058262,0.007309
643265,0.079709,0.058229
572228,0.029366,0.061827
608841,0.001506,0.134744
664761,-0.113142,-0.077993
621550,-0.00293,-0.013082
665019,0.002877,0.039161
519058,-0.065268,0.081658
643396,-0.07377,0.072171
656305,-0.165085,0.086072
593428,-0.045941,-0.050572
518934,0.066069,-0.028386
570482,0.012912,0.029974
641487,0.010368,0.118009
672695,0.034479,-0.2284
621043,0.004686,-0.019519
677551,0.04909,-0.121462
668942,0.210448,0.06642
649966,0.05774,-0.08238
680869,0.046784,-0.069537
665828,0.008989,-0.186228
669701,0.007751,-0.19403
570731,0.06287,0.001367
593643,0.026028,-0.028383
665155,0.002674,-0.224582
683146,-0.145421,0.02238
663837,-0.021681,-0.136061
677649,-0.065177,-0.022294
669397,-0.052721,-0.140548
605113,0.01995,-0.074985
655316,0.093875,0.213675
683011,0.252506,-0.03352
595879,-0.037369,0.011649
665161,0.063365,0.006556
660644,0.017,0.072501
462101,0.01904,0.059858
