,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Margot, Manuel]",-0.808,0.157,-1.112,-0.522,0.001,0.002,13874.0,6550.0,1.0
"alpha[DeShields, Delino]",-0.935,0.199,-1.313,-0.555,0.002,0.002,13398.0,5643.0,1.0
"alpha[Reynolds, Bryan]",-1.031,0.123,-1.255,-0.796,0.001,0.001,10292.0,6270.0,1.0
"alpha[Fargas, Johneshwy]",-0.894,0.209,-1.286,-0.499,0.002,0.003,14228.0,5147.0,1.0
"alpha[Taveras, Leody]",-0.99,0.097,-1.172,-0.811,0.001,0.001,10220.0,5644.0,1.0
"alpha[Tatis Jr., Fernando]",-1.039,0.209,-1.442,-0.653,0.002,0.003,14220.0,5454.0,1.0
"alpha[Ward, Taylor]",-0.929,0.199,-1.315,-0.564,0.002,0.003,16858.0,5702.0,1.0
"alpha[Barrero, José]",-0.959,0.199,-1.311,-0.568,0.002,0.002,12990.0,5902.0,1.0
"alpha[De La Cruz, Bryan]",-0.998,0.172,-1.315,-0.674,0.002,0.002,12904.0,5671.0,1.0
"alpha[Isbel, Kyle]",-0.676,0.117,-0.883,-0.443,0.001,0.001,11311.0,6631.0,1.0
"alpha[Carlson, Dylan]",-0.986,0.132,-1.239,-0.741,0.001,0.002,12459.0,6275.0,1.0
"alpha[Hampson, Garrett]",-1.016,0.138,-1.272,-0.755,0.001,0.002,11486.0,5993.0,1.0
"alpha[Thompson, Trayce]",-0.856,0.172,-1.175,-0.535,0.001,0.002,13895.0,5449.0,1.0
"alpha[Olivares, Edward]",-0.962,0.211,-1.339,-0.558,0.002,0.003,14527.0,5888.0,1.0
"alpha[Reyes, Victor]",-1.099,0.186,-1.452,-0.763,0.002,0.002,12446.0,5491.0,1.0
"alpha[Cameron, Daz]",-0.989,0.191,-1.368,-0.65,0.002,0.002,12558.0,5802.0,1.0
"alpha[Brown, Seth]",-0.934,0.196,-1.298,-0.562,0.002,0.003,13498.0,5979.0,1.0
"alpha[Pederson, Joc]",-0.877,0.199,-1.241,-0.489,0.002,0.003,15068.0,5268.0,1.0
