,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,-0.903,0.029,-0.957,-0.847,0.0,0.0,4754.0,5701.0,1.0
mu_beta_speed,-14.471,0.154,-14.752,-14.18,0.002,0.002,6147.0,5520.0,1.0
mu_beta_cos,-0.39,0.026,-0.438,-0.342,0.0,0.0,5307.0,5533.0,1.0
mu_beta_sin,-0.127,0.016,-0.157,-0.097,0.0,0.0,8912.0,6234.0,1.0
mu_beta_dist,1.399,0.043,1.318,1.483,0.001,0.0,4712.0,5939.0,1.0
