,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,-2.16,0.032,-2.219,-2.1,0.001,0.0,1573.0,2650.0,1.0
mu_beta_speed,-20.13,0.128,-20.377,-19.89,0.002,0.001,5024.0,5690.0,1.0
mu_beta_cos,-0.263,0.016,-0.293,-0.234,0.0,0.0,2600.0,4194.0,1.0
mu_beta_sin,-0.116,0.01,-0.135,-0.097,0.0,0.0,5420.0,5980.0,1.0
mu_beta_dist,1.918,0.026,1.872,1.969,0.0,0.0,3763.0,4876.0,1.0
