,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,-2.947,0.041,-3.023,-2.87,0.001,0.0,3879.0,5063.0,1.0
mu_beta_speed,-20.951,0.209,-21.341,-20.57,0.003,0.002,4034.0,5119.0,1.0
mu_beta_cos,-0.21,0.028,-0.263,-0.16,0.001,0.0,2775.0,4518.0,1.0
mu_beta_sin,-0.001,0.016,-0.032,0.03,0.0,0.0,5561.0,5041.0,1.0
mu_beta_dist,2.161,0.046,2.078,2.252,0.001,0.0,3580.0,5051.0,1.0
