,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,-2.108,0.033,-2.171,-2.05,0.001,0.0,1414.0,2675.0,1.0
mu_beta_speed,-18.29,0.122,-18.528,-18.067,0.002,0.001,4131.0,5132.0,1.0
mu_beta_cos,-0.26,0.017,-0.291,-0.229,0.0,0.0,2987.0,4302.0,1.0
mu_beta_sin,-0.112,0.011,-0.134,-0.093,0.0,0.0,5116.0,5306.0,1.0
mu_beta_dist,1.928,0.028,1.877,1.98,0.0,0.0,3630.0,4890.0,1.0
