,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,-2.149,0.035,-2.213,-2.082,0.0,0.0,5036.0,5373.0,1.0
mu_beta_speed,-17.863,0.155,-18.148,-17.57,0.002,0.001,7661.0,6118.0,1.0
mu_beta_cos,-0.267,0.016,-0.298,-0.239,0.0,0.0,8641.0,6402.0,1.0
mu_beta_sin,-0.097,0.012,-0.12,-0.075,0.0,0.0,9948.0,6815.0,1.0
mu_beta_dist,1.836,0.031,1.777,1.894,0.0,0.0,7945.0,6634.0,1.0
