,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Benintendi, Andrew]",-2.336,0.178,-2.683,-2.017,0.001,0.002,14442.0,6692.0,1.0
"alpha[Taylor, Chris]",-1.855,0.222,-2.283,-1.442,0.002,0.003,15748.0,6317.0,1.0
"alpha[Holt, Brock]",-2.387,0.384,-3.114,-1.677,0.003,0.005,15601.0,5876.0,1.0
"alpha[Martinez, J.D.]",-2.696,0.271,-3.208,-2.194,0.002,0.003,16777.0,5977.0,1.0
"alpha[Pederson, Joc]",-2.437,0.197,-2.812,-2.068,0.002,0.002,13176.0,6302.0,1.0
"alpha[Braun, Ryan]",-2.468,0.245,-2.931,-2.011,0.002,0.003,13862.0,6275.0,1.0
"alpha[Kemp, Tony]",-2.148,0.237,-2.609,-1.727,0.002,0.003,13847.0,6758.0,1.0
"alpha[Gonzalez, Marwin]",-1.985,0.248,-2.474,-1.54,0.002,0.003,15368.0,6612.0,1.0
"alpha[Kemp, Matt]",-2.501,0.286,-3.033,-1.95,0.002,0.003,15138.0,6450.0,1.0
"alpha[Canha, Mark]",-2.234,0.186,-2.587,-1.891,0.002,0.002,10520.0,6140.0,1.0
"alpha[Upton, Justin]",-2.657,0.211,-3.067,-2.271,0.002,0.002,14447.0,7262.0,1.0
"alpha[Swihart, Blake]",-2.865,0.39,-3.624,-2.16,0.003,0.005,15370.0,5606.0,1.0
"alpha[McCutchen, Andrew]",-2.712,0.192,-3.072,-2.359,0.002,0.002,14073.0,6239.0,1.0
"alpha[Gardner, Brett]",-1.769,0.15,-2.052,-1.491,0.001,0.002,11828.0,6284.0,1.0
"alpha[Dean, Austin]",-2.703,0.295,-3.259,-2.159,0.003,0.004,13757.0,5480.0,1.0
"alpha[Conforto, Michael]",-2.408,0.169,-2.722,-2.086,0.002,0.002,12301.0,6546.0,1.0
"alpha[Hanson, Alen]",-2.672,0.383,-3.386,-1.947,0.003,0.004,16572.0,6065.0,1.0
"alpha[Blanco, Grégor]",-2.11,0.316,-2.71,-1.522,0.003,0.004,15482.0,6918.0,1.0
"alpha[Mahtook, Mikie]",-2.192,0.285,-2.712,-1.647,0.002,0.003,16867.0,5882.0,1.0
"alpha[Gordon, Alex]",-2.53,0.197,-2.91,-2.185,0.002,0.002,13536.0,6912.0,1.0
"alpha[Brantley, Michael]",-2.522,0.187,-2.879,-2.177,0.002,0.002,12337.0,6128.0,1.0
"alpha[Acuña Jr., Ronald]",-1.976,0.176,-2.306,-1.651,0.001,0.002,14388.0,6299.0,1.0
"alpha[Yelich, Christian]",-2.643,0.187,-2.999,-2.294,0.002,0.002,14666.0,6949.0,1.0
"alpha[Holliday, Matt]",-2.579,0.428,-3.367,-1.749,0.003,0.006,17184.0,5565.0,1.0
"alpha[Parra, Gerardo]",-2.679,0.227,-3.115,-2.264,0.002,0.003,14858.0,6407.0,1.0
"alpha[Dahl, David]",-2.232,0.212,-2.614,-1.819,0.002,0.002,12691.0,6503.0,1.0
"alpha[Martini, Nick]",-2.171,0.281,-2.703,-1.647,0.002,0.003,14147.0,6320.0,1.0
"alpha[Gore, Terrance]",-1.752,0.352,-2.396,-1.089,0.003,0.004,18931.0,6383.0,1.0
"alpha[Zobrist, Ben]",-2.088,0.289,-2.621,-1.538,0.002,0.003,15037.0,6232.0,1.0
"alpha[Bryant, Kris]",-2.511,0.254,-3.006,-2.057,0.002,0.003,14240.0,6493.0,1.0
"alpha[Schwarber, Kyle]",-2.42,0.186,-2.764,-2.071,0.002,0.002,13765.0,7024.0,1.0
"alpha[Soto, Juan]",-1.941,0.157,-2.241,-1.655,0.001,0.002,12642.0,6788.0,1.0
"alpha[Smith, Dominic]",-2.85,0.279,-3.377,-2.347,0.002,0.003,14504.0,5922.0,1.0
"alpha[Slater, Austin]",-1.952,0.226,-2.357,-1.516,0.002,0.003,16186.0,7050.0,1.0
"alpha[Field, Johnny]",-2.026,0.289,-2.567,-1.474,0.002,0.003,15532.0,6421.0,1.0
"alpha[Palka, Daniel]",-0.31,0.146,-0.582,-0.039,0.001,0.002,13781.0,6184.0,1.0
"alpha[Renfroe, Hunter]",-2.466,0.186,-2.827,-2.126,0.002,0.002,12676.0,7060.0,1.0
"alpha[Smith Jr., Dwight]",-2.638,0.262,-3.098,-2.12,0.002,0.003,13671.0,6584.0,1.0
"alpha[Pham, Tommy]",-2.309,0.185,-2.641,-1.96,0.002,0.002,12197.0,6543.0,1.0
"alpha[McKinney, Billy]",-2.079,0.246,-2.562,-1.65,0.002,0.003,15033.0,6490.0,1.0
"alpha[Maybin, Cameron]",-1.851,0.221,-2.265,-1.437,0.002,0.002,14433.0,6655.0,1.0
"alpha[Calhoun, Willie]",-2.592,0.268,-3.105,-2.094,0.002,0.003,14793.0,6393.0,1.0
"alpha[O'Neill, Tyler]",-2.345,0.219,-2.756,-1.932,0.002,0.002,12278.0,6479.0,1.0
"alpha[Reyes, Pablo]",-2.085,0.315,-2.681,-1.497,0.002,0.004,16328.0,6330.0,1.0
