batter,n_gb,n_restarts,ref_exp_outs,cand_exp_outs,shortfall,pos_gap_ft
690993,194,20,0.7590233321574816,0.7589518295308229,7.150262665878149e-05,15.994249994969133
690993,194,16,0.7590233321574816,0.7588403931035884,0.0001829390538932163,3.848813828206854
690993,194,12,0.7590233321574816,0.7589877015501579,3.563060732370005e-05,1.0729699462984925
690993,194,10,0.7590233321574816,0.7578923302850352,0.0011310018724464133,30.638266511846332
690993,194,8,0.7590233321574816,0.7578923302850352,0.0011310018724464133,30.638266511846332
670042,238,20,0.7775969223086814,0.7771651062183071,0.0004318160903742374,3.795141342727099
670042,238,16,0.7775969223086814,0.7775969087628346,1.3545846777596182e-08,0.010284786884304233
670042,238,12,0.7775969223086814,0.7775969037691706,1.8539510815429594e-08,0.07020240367910349
670042,238,10,0.7775969223086814,0.7740192780529849,0.0035776442556965105,32.6788413315221
670042,238,8,0.7775969223086814,0.777596922080861,2.2782042918834122e-10,0.006942881775251406
656976,122,20,0.779751247457069,0.7796039119051624,0.0001473355519066022,3.5306832925985216
656976,122,16,0.779751247457069,0.7797230909701216,2.8156486947428228e-05,1.6344393421958812
656976,122,12,0.779751247457069,0.7795363400836249,0.00021490737344409538,8.056146324434307
656976,122,10,0.779751247457069,0.7795363120514263,0.0002149354056427688,8.043641768855348
656976,122,8,0.779751247457069,0.7780117238816197,0.0017395235754493754,2.3642109725967204
660688,343,20,0.7915250764042231,0.7915250763250844,7.913869559672548e-11,0.0010162336266475655
660688,343,16,0.7915250764042231,0.791309593419403,0.00021548298482010342,3.4858216254460865
660688,343,12,0.7915250764042231,0.7915250762717552,1.324679255176875e-10,0.0009952973645402507
660688,343,10,0.7915250764042231,0.7915250763957871,8.436029652614252e-12,0.00031756669892042336
660688,343,8,0.7915250764042231,0.7915250763469913,5.7231774874821895e-11,0.0006858190452045082
656775,255,20,0.7666119928678423,0.7666432897376638,-3.129686982150659e-05,34.98980809081759
656775,255,16,0.7666119928678423,0.7665022368494202,0.00010975601842211358,35.0339261301226
656775,255,12,0.7666119928678423,0.7660060616431102,0.0006059312247320703,3.9241989827687727
656775,255,10,0.7666119928678423,0.7658038029926804,0.0008081898751619576,23.92962571997265
656775,255,8,0.7666119928678423,0.7665045980933304,0.00010739477451193746,33.88657185209919
666023,226,20,0.7624180571443242,0.7624180571360784,8.245848448495963e-12,0.0021415629889547185
