name_fielder,model_oaa,n_opp,position
"Gardner, Brett",0.45,52,LF
"Garlick, Kyle",0.93,16,LF
"Gonzalez, Marwin",1.12,16,LF
"González, Luis",-0.6,2,LF
"Goodrum, Niko",0.21,10,LF
"Goodwin, Brian",1.0,9,LF
"Gordon, Nick",0.87,8,LF
"Gosselin, Phil",-0.01,81,LF
"Grossman, Robbie",4.32,141,LF
"Gurriel Jr., Lourdes",2.02,160,LF
"Haase, Eric",1.58,27,LF
"Haggerty, Sam",4.09,42,LF
"Hamilton, Billy",0.94,12,LF
"Happ, Ian",0.25,102,LF
"Harrison, Josh",-4.55,23,LF
"Haseley, Adam",0.29,1,LF
"Hays, Austin",2.35,153,LF
"Heineman, Scott",0.03,2,LF
"Heredia, Guillermo",1.45,8,LF
"Hermosillo, Michael",0.06,2,LF
"Hernandez, Yadiel",-0.36,98,LF
"Hernández, Teoscar",0.01,44,LF
"Herrera, Odúbel",1.47,30,LF
"Hilliard, Sam",1.8,19,LF
"Hiura, Keston",0.02,1,LF
"Hoerner, Nico",-0.93,4,LF
"Ibáñez, Andy",0.08,3,LF
"Isbel, Kyle",0.74,6,LF
"Jankowski, Travis",0.17,5,LF
"Jay, Jon",0.32,9,LF
"Jiménez, Eloy",0.1,74,LF
"Joe, Connor",1.62,57,LF
"Johnson, Daniel",0.35,11,LF
"Jones, JaCoby",-0.82,4,LF
"Jones, Taylor",-0.59,8,LF
"Joyce, Matt",1.05,10,LF
"Kelenic, Jarred",1.13,28,LF
"Kemp, Tony",4.95,68,LF
"Kirilloff, Alex",-0.76,27,LF
"LaMarre, Ryan",0.07,4,LF
"Lagares, Juan",0.63,18,LF
"Lamb, Jake",-0.28,17,LF
"Larnach, Trevor",1.21,110,LF
"Locastro, Tim",-0.29,19,LF
"Long Jr., Shed",-2.56,44,LF
"Lowe, Brandon",-0.57,4,LF
"Lowe, Josh",0.01,1,LF
"Luplow, Jordan",-0.33,4,LF
"Lux, Gavin",-1.91,14,LF
"Margot, Manuel",5.03,27,LF
"Marisnick, Jake",3.35,17,LF
"Marmolejos, José",0.54,19,LF
"Martin, Jason",6.24,77,LF
"Martinez, J.D.",-0.16,51,LF
"Martini, Nick",0.25,4,LF
"Mateo, Jorge",0.73,3,LF
"Mathisen, Wyatt",0.21,2,LF
"Maybin, Cameron",0.62,4,LF
"McCormick, Chas",5.38,61,LF
"McCutchen, Andrew",1.83,219,LF
"McKenna, Ryan",1.32,73,LF
"McKinney, Billy",2.55,43,LF
"McKinstry, Zach",0.37,6,LF
"McNeil, Jeff",3.52,49,LF
"Meadows, Austin",3.88,104,LF
"Mercado, Óscar",3.11,81,LF
"Merrifield, Whit",0.06,2,LF
"Meyers, Jake",0.01,1,LF
"Miller, Brad",-1.18,7,LF
"Miller, Brian",0.25,1,LF
"Moore, Dylan",3.55,93,LF
"Mountcastle, Ryan",-5.14,35,LF
"Musgrove, Joe",0.06,1,LF
"Myers, Wil",0.58,10,LF
"Naquin, Tyler",-1.43,29,LF
"Neuse, Sheldon",0.13,5,LF
"Nevin, Tyler",-1.19,11,LF
"Nimmo, Brandon",-0.13,6,LF
"Nootbaar, Lars",1.43,10,LF
"O'Grady, Brian",0.19,3,LF
"O'Neill, Tyler",9.24,237,LF
"Oliva, Jared",-0.49,9,LF
"Olivares, Edward",-0.98,17,LF
"Ortega, Rafael",1.72,11,LF
"Owings, Chris",-0.47,2,LF
"Ozuna, Marcell",7.38,91,LF
"Palacios, Joshua",0.17,5,LF
"Park, Hoy",-0.8,6,LF
"Parra, Gerardo",-0.06,18,LF
"Payton, Mark",0.07,2,LF
"Pederson, Joc",-3.6,101,LF
"Peralta, David",9.95,286,LF
"Peters, DJ",2.04,29,LF
"Peterson, Jace",0.62,15,LF
"Pham, Tommy",3.38,144,LF
"Phillips, Brett",0.14,7,LF
"Pillar, Kevin",2.59,43,LF
"Pinder, Chad",0.14,34,LF
"Pollock, AJ",4.98,201,LF
"Profar, Jurickson",-1.28,42,LF
"Pérez, Hernán",0.02,2,LF
"Quinn, Roman",0.39,3,LF
"Raley, Luke",-0.28,8,LF
"Ramos, Henry",0.57,9,LF
"Ramírez, Harold",-0.41,92,LF
"Reddick, Josh",0.04,2,LF
"Refsnyder, Rob",0.55,17,LF
"Reks, Zach",0.05,2,LF
"Reyes, Pablo",0.04,1,LF
"Reynolds, Bryan",0.01,36,LF
"Rivas III, Alfonso",0.37,9,LF
"Robson, Jacob",0.07,2,LF
"Rojas, Jose",-0.14,8,LF
"Rojas, Josh",-0.91,24,LF
"Rondon, José",0.36,2,LF
"Rooker, Brent",1.12,70,LF
"Rosario, Eddie",13.85,225,LF
"Ruf, Darin",1.84,43,LF
"Santana, Danny",-0.58,4,LF
"Santander, Anthony",1.32,7,LF
"Schebler, Scott",0.19,3,LF
"Schrock, Max",1.9,33,LF
"Schwarber, Kyle",4.78,152,LF
"Sierra, Magneuris",-0.04,12,LF
"Siri, Jose",-0.57,4,LF
"Slater, Austin",3.36,16,LF
"Smith, Dominic",-3.54,172,LF
"Smith, Pavin",-0.19,22,LF
"Stanton, Giancarlo",0.11,24,LF
"Stephenson, Tyler",-0.96,1,LF
"Stevenson, Andrew",2.82,40,LF
"Stewart, DJ",-4.1,61,LF
"Stubbs, Garrett",0.01,1,LF
"Sánchez, Jesús",0.05,29,LF
"Tapia, Raimel",4.51,175,LF
"Tauchman, Mike",4.41,48,LF
"Taylor, Chris",2.23,39,LF
"Taylor, Tyrone",1.17,55,LF
"Thomas, Dillon",0.02,1,LF
"Thomas, Lane",0.37,11,LF
"Tom, Ka'ai",0.31,58,LF
"Trammell, Taylor",0.27,19,LF
"Tsutsugo, Yoshi",0.78,18,LF
"Upton, Justin",-0.26,132,LF
"Valaika, Pat",0.16,3,LF
"VanMeter, Josh",0.03,1,LF
"Vargas, Ildemaro",0.04,1,LF
"Varsho, Daulton",0.87,13,LF
"Vaughn, Andrew",1.24,151,LF
"Verdugo, Alex",2.4,127,LF
"Vierling, Matt",-0.87,2,LF
"Vilade, Ryan",0.05,3,LF
"Vosler, Jason",0.0,1,LF
"Wade Jr., LaMonte",3.86,49,LF
"Wade, Tyler",0.97,10,LF
"Walton, Donovan",0.78,6,LF
"Ward, Taylor",0.07,21,LF
"White, Eli",5.62,58,LF
"Wilkerson, Stevie",-0.03,2,LF
"Williams, Justin",-0.15,30,LF
"Williams, Luke",0.09,5,LF
"Williams, Nick",0.26,6,LF
"Wilson, Jacob",0.08,3,LF
"Winker, Jesse",-0.86,173,LF
"Wisdom, Patrick",-2.13,28,LF
"Wong, Kean",-0.51,5,LF
"Yelich, Christian",3.88,191,LF
"Young, Andrew",-0.85,1,LF
"Zimmer, Bradley",0.31,6,LF
"Acuña Jr., Ronald",0.59,5,CF
"Adrianza, Ehire",0.11,1,CF
"Akiyama, Shogo",5.66,83,CF
"Alford, Anthony",-0.02,5,CF
"Allen, Greg",1.28,6,CF
"Almora Jr., Albert",1.24,36,CF
"Andreoli, John",0.9,1,CF
"Aquino, Aristides",1.8,23,CF
"Baddoo, Akil",13.97,172,CF
"Bader, Harrison",29.42,301,CF
"Barrera, Luis",0.85,2,CF
"Barrero, José",2.78,11,CF
"Bellinger, Cody",16.86,179,CF
"Berti, Jon",-0.33,2,CF
"Betts, Mookie",6.15,48,CF
"Bolt, Skye",2.89,38,CF
"Bonifacio, Jorge",-0.42,5,CF
"Bradley Jr., Jackie",13.3,193,CF
"Brinson, Lewis",-0.05,47,CF
"Brown, Seth",0.02,10,CF
"Bryant, Kris",5.36,30,CF
"Buxton, Byron",20.64,177,CF
"Cain, Lorenzo",15.17,161,CF
"Cameron, Daz",2.45,31,CF
"Canha, Mark",2.37,49,CF
"Carlson, Dylan",9.14,145,CF
"Castro, Harold",-0.35,6,CF
"Cave, Jake",3.16,48,CF
"Celestino, Gilberto",1.69,45,CF
"Dahl, David",0.86,3,CF
"Davis, Jonathan",9.95,53,CF
"Daza, Yonathan",8.27,111,CF
"De La Cruz, Bryan",1.19,46,CF
"DeShields, Delino",2.14,30,CF
"Dickerson, Corey",2.13,15,CF
"Difo, Wilmer",-0.54,8,CF
"Dubón, Mauricio",3.54,37,CF
"Duggar, Steven",16.88,172,CF
"Duran, Jarren",2.77,41,CF
"Duvall, Adam",8.55,75,CF
"Dyson, Jarrod",10.74,65,CF
"Engel, Adam",6.77,66,CF
"Fairchild, Stuart",0.8,3,CF
"Fargas, Johneshwy",1.13,18,CF
"Florial, Estevan",1.68,17,CF
"Fowler, Dustin",3.14,25,CF
"Fraley, Jake",1.22,46,CF
"Freeman, Mike",0.09,1,CF
"Friedl, TJ",2.41,11,CF
"Gamel, Ben",-1.61,33,CF
"García, Adolis",22.8,221,CF
"García, Avisaíl",0.78,4,CF
"García, Leury",3.73,43,CF
"Gardner, Brett",18.0,228,CF
"Garlick, Kyle",0.24,4,CF
"Goodrum, Niko",0.19,10,CF
"Goodwin, Brian",2.82,58,CF
"Gordon, Nick",4.53,64,CF
"Grichuk, Randal",11.52,157,CF
"Grisham, Trent",15.06,220,CF
"Haggerty, Sam",0.93,6,CF
"Hamilton, Billy",8.43,62,CF
"Hampson, Garrett",18.63,173,CF
"Happ, Ian",8.22,106,CF
"Harrison, Josh",0.13,2,CF
"Harrison, Monte",1.03,5,CF
"Haseley, Adam",-1.52,18,CF
"Hays, Austin",1.37,8,CF
"Heath, Nick",3.57,20,CF
"Heineman, Scott",0.64,8,CF
"Heredia, Guillermo",19.22,190,CF
"Hermosillo, Michael",2.46,10,CF
"Hernández, Enrique",25.03,168,CF
"Herrera, Odúbel",24.77,201,CF
"Hicks, Aaron",4.77,58,CF
"Hill, Derek",9.98,114,CF
"Hilliard, Sam",6.41,82,CF
"Hoerner, Nico",0.58,1,CF
"Hurst, Scott",0.01,1,CF
"Inciarte, Ender",4.23,61,CF
"Isbel, Kyle",2.39,18,CF
"Jankowski, Travis",8.22,63,CF
"Jones, JaCoby",9.06,74,CF
"Judge, Aaron",4.94,43,CF
"Kelenic, Jarred",17.25,229,CF
"Kepler, Max",3.76,49,CF
"Kiermaier, Kevin",31.67,227,CF
"LaMarre, Ryan",0.09,1,CF
"Lagares, Juan",12.58,117,CF
"Laureano, Ramón",15.04,178,CF
"Lewis, Kyle",9.28,94,CF
"Locastro, Tim",3.01,55,CF
"Luplow, Jordan",0.86,38,CF
"Lux, Gavin",2.32,17,CF
"Margot, Manuel",8.3,57,CF
"Marisnick, Jake",8.73,75,CF
"Marsh, Brandon",14.34,165,CF
"Marte, Ketel",12.34,161,CF
"Marte, Starling",27.11,277,CF
"Martin, Jason",0.79,8,CF
"Mateo, Jorge",0.81,16,CF
"Maybin, Cameron",-0.62,6,CF
"McCarthy, Jake",1.81,30,CF
"McCormick, Chas",8.09,69,CF
"McKenna, Ryan",2.06,40,CF
"Mercado, Óscar",2.04,16,CF
"Meyers, Jake",6.9,91,CF
"Moniak, Mickey",1.9,15,CF
"Mullins, Cedric",38.21,417,CF
"Naquin, Tyler",9.93,153,CF
"Nimmo, Brandon",22.76,199,CF
"Oliva, Jared",0.6,2,CF
"Olivares, Edward",0.14,4,CF
"Ortega, Rafael",8.31,138,CF
"Owings, Chris",0.41,2,CF
"Pache, Cristian",3.77,39,CF
"Palacios, Joshua",1.05,3,CF
"Park, Hoy",0.07,2,CF
"Parra, Gerardo",1.7,19,CF
"Pederson, Joc",4.57,48,CF
"Peters, DJ",5.22,59,CF
"Pham, Tommy",2.99,20,CF
"Phillips, Brett",14.88,112,CF
"Pillar, Kevin",7.08,98,CF
"Pollock, AJ",1.47,10,CF
"Profar, Jurickson",1.31,29,CF
"Quinn, Roman",3.12,31,CF
"Ramírez, Harold",-0.69,38,CF
"Reddick, Josh",1.05,8,CF
"Refsnyder, Rob",9.08,48,CF
"Renfroe, Hunter",-0.11,10,CF
"Reyes, Victor",1.47,33,CF
"Reynolds, Bryan",28.71,318,CF
"Robert Jr., Luis",15.79,167,CF
"Robles, Victor",16.76,213,CF
"Rosario, Amed",2.58,28,CF
"Santana, Danny",0.86,29,CF
"Schebler, Scott",0.8,11,CF
"Senzel, Nick",6.23,44,CF
"Sierra, Magneuris",7.74,74,CF
"Siri, Jose",1.5,21,CF
"Slater, Austin",11.27,109,CF
"Smith, Pavin",5.27,64,CF
"Springer, George",7.22,81,CF
"Stevenson, Andrew",4.02,48,CF
"Straw, Myles",36.25,412,CF
"Tapia, Raimel",0.78,3,CF
"Tatis Jr., Fernando",0.77,10,CF
"Tauchman, Mike",2.55,22,CF
"Taveras, Leody",20.08,130,CF
"Taylor, Chris",8.06,111,CF
"Taylor, Michael A.",48.65,366,CF
"Taylor, Tyrone",3.5,26,CF
"Thomas, Dillon",0.49,5,CF
"Thomas, Lane",1.17,94,CF
"Thompson, Trayce",0.38,7,CF
"Torreyes, Ronald",0.49,1,CF
"Trammell, Taylor",7.36,106,CF
"Trout, Mike",5.85,52,CF
"Tucker, Cole",0.28,3,CF
"Tucker, Kyle",1.3,14,CF
"Varsho, Daulton",8.07,66,CF
"Verdugo, Alex",4.1,74,CF
"Vierling, Matt",0.87,11,CF
"Wade Jr., LaMonte",-0.18,4,CF
"Wade, Tyler",0.77,4,CF
"Ward, Taylor",1.58,20,CF
"White, Eli",2.29,43,CF
"Williams, Luke",2.24,13,CF
"Williams, Mason",1.82,27,CF
"Yastrzemski, Mike",6.02,53,CF
"Zimmer, Bradley",17.17,100,CF
"Acuña Jr., Ronald",5.31,125,RF
"Adell, Jo",1.24,40,RF
"Adrianza, Ehire",-0.04,19,RF
"Akiyama, Shogo",0.12,2,RF
"Alford, Anthony",0.8,2,RF
"Allen, Greg",0.94,18,RF
"Almonte, Abraham",-0.47,1,RF
"Almora Jr., Albert",0.03,1,RF
"Amburgey, Trey",1.33,6,RF
"Aquino, Aristides",2.18,33,RF
"Arozarena, Randy",3.95,104,RF
"Astudillo, Willians",0.02,1,RF
"Baddoo, Akil",0.25,13,RF
"Barrera, Luis",0.11,2,RF
"Bauers, Jake",1.3,37,RF
"Beaty, Matt",-1.06,15,RF
"Bellinger, Cody",0.12,3,RF
"Betts, Mookie",0.41,190,RF
"Biggio, Cavan",-2.69,25,RF
"Blackmon, Charlie",-3.18,216,RF
"Blankenhorn, Travis",0.02,1,RF
"Bolt, Skye",0.86,4,RF
"Bradley Jr., Jackie",1.37,19,RF
"Brantley, Michael",-1.65,10,RF
"Brinson, Lewis",0.28,7,RF
"Brosseau, Mike",-0.88,1,RF
"Brown, Seth",8.54,121,RF
"Bruján, Vidal",0.41,5,RF
"Bryant, Kris",-1.39,60,RF
"Calhoun, Kole",0.19,66,RF
"Cameron, Daz",-2.78,34,RF
"Canha, Mark",3.69,53,RF
"Carlson, Dylan",-0.27,163,RF
"Castellanos, Nick",3.47,251,RF
"Cave, Jake",-0.1,26,RF
"Celestino, Gilberto",-0.04,8,RF
"Chavis, Michael",-0.79,3,RF
"Conforto, Michael",0.08,206,RF
"Cooper, Garrett",-1.92,56,RF
"Cordero, Franchy",-0.59,2,RF
"Culberson, Charlie",0.06,1,RF
"Dahl, David",1.09,26,RF
"Davis, Jaylin",0.41,3,RF
"Daza, Yonathan",2.55,29,RF
"De La Cruz, Bryan",1.93,42,RF
"Dean, Austin",0.31,4,RF
"Deichmann, Greg",-0.52,10,RF
"Dickerson, Corey",0.11,3,RF
"Difo, Wilmer",-2.83,10,RF
"Dozier, Hunter",0.29,118,RF
"Drury, Brandon",-0.12,7,RF
"Duggar, Steven",0.02,1,RF
"Duvall, Adam",4.65,106,RF
"Dyson, Jarrod",2.47,33,RF
"Eaton, Adam",1.87,144,RF
"Edman, Tommy",7.32,67,RF
"Engel, Adam",0.71,18,RF
"Evans, Phillip",-0.41,19,RF
"Fairchild, Stuart",0.18,2,RF
"Fargas, Johneshwy",-0.3,2,RF
"Fisher, Derek",0.26,2,RF
"Fowler, Dexter",0.14,5,RF
"Fowler, Dustin",0.01,1,RF
"Fraley, Jake",-0.18,13,RF
"Frazier, Clint",-0.56,45,RF
"Gallo, Joey",4.16,198,RF
"Gamel, Ben",-2.66,32,RF
"García, Adolis",6.11,106,RF
"García, Avisaíl",2.94,232,RF
"García, Leury",-0.24,57,RF
"Garlick, Kyle",-1.22,37,RF
"Gonzalez, Romy",0.1,1,RF
"González, Luis",0.38,4,RF
"Goodwin, Brian",1.41,73,RF
"Gordon, Nick",0.02,1,RF
"Grichuk, Randal",4.18,71,RF
"Grossman, Robbie",3.3,154,RF
"Hager, Jake",0.01,1,RF
"Haggerty, Sam",-1.03,9,RF
"Haniger, Mitch",8.87,303,RF
"Happ, Ian",-0.19,20,RF
"Harper, Bryce",-3.9,251,RF
"Harrison, Monte",0.45,2,RF
"Hays, Austin",7.32,102,RF
"Heineman, Scott",0.36,1,RF
"Hermosillo, Michael",0.85,10,RF
"Hernandez, Yadiel",0.8,20,RF
"Hernández, Teoscar",4.97,216,RF
"Heyward, Jason",4.19,172,RF
"Hilliard, Sam",-1.77,14,RF
"Isbel, Kyle",0.88,26,RF
"Jankowski, Travis",0.09,2,RF
"Johnson, Daniel",2.55,32,RF
"Joyce, Matt",1.13,12,RF
"Judge, Aaron",7.16,222,RF
"Kelenic, Jarred",0.09,5,RF
"Kepler, Max",2.2,171,RF
"Kingery, Scott",0.08,4,RF
"Kirilloff, Alex",-1.11,34,RF
"Kivlehan, Patrick",0.03,1,RF
"LaMarre, Ryan",-0.26,3,RF
"Lagares, Juan",-2.73,44,RF
"Lamb, Jake",-0.84,13,RF
"Larnach, Trevor",2.02,40,RF
"Laureano, Ramón",-0.81,16,RF
"Lee, Khalil",-0.15,7,RF
"Locastro, Tim",-0.41,10,RF
"Lorenzen, Michael",0.01,1,RF
"Lowe, Brandon",0.47,14,RF
"Lowe, Josh",0.16,3,RF
"Luplow, Jordan",0.18,16,RF
"Lux, Gavin",-0.89,1,RF
"Marcano, Tucupita",0.9,2,RF
"Margot, Manuel",12.22,168,RF
"Marisnick, Jake",0.2,3,RF
"Marmolejos, José",0.05,2,RF
"Martin, Jason",0.04,1,RF
"Martinez, J.D.",-0.63,12,RF
"Martini, Nick",0.15,7,RF
"Mateo, Jorge",0.43,7,RF
"Maybin, Cameron",0.02,2,RF
"Mazara, Nomar",1.02,69,RF
"McCarthy, Jake",-0.44,18,RF
"McCormick, Chas",3.92,51,RF
"McKenna, Ryan",-0.37,20,RF
"McKinney, Billy",2.47,76,RF
"McKinstry, Zach",0.65,31,RF
"Meadows, Austin",-0.5,5,RF
"Mendick, Danny",-0.16,7,RF
"Mercado, Óscar",1.52,33,RF
"Merrifield, Whit",0.33,28,RF
"Meyers, Jake",-0.17,10,RF
"Miller, Brad",0.79,19,RF
"Moniak, Mickey",-0.63,1,RF
"Moore, Dylan",0.15,12,RF
"Motter, Taylor",0.43,2,RF
"Myers, Wil",4.46,134,RF
"Naquin, Tyler",0.66,25,RF
"Naylor, Josh",1.87,93,RF
"Neuse, Sheldon",-0.81,1,RF
"Nootbaar, Lars",1.26,51,RF
"O'Grady, Brian",0.06,15,RF
"O'Hearn, Ryan",0.04,37,RF
"Oliva, Jared",0.15,15,RF
"Olivares, Edward",2.09,27,RF
"Ortega, Rafael",1.18,17,RF
"Owings, Chris",-0.69,4,RF
"Palacios, Joshua",-0.58,4,RF
"Park, Hoy",-0.4,6,RF
"Parra, Gerardo",0.13,4,RF
"Payton, Mark",0.07,5,RF
"Pederson, Joc",2.01,57,RF
"Peters, DJ",1.41,39,RF
"Peterson, Jace",0.39,19,RF
"Pham, Tommy",-0.46,2,RF
"Phillips, Brett",3.8,80,RF
"Pillar, Kevin",0.38,27,RF
"Pinder, Chad",2.84,60,RF
"Piscotty, Stephen",-5.9,97,RF
"Polanco, Gregory",1.6,206,RF
"Profar, Jurickson",-1.82,32,RF
"Pérez, Hernán",0.06,1,RF
"Quinn, Roman",0.49,3,RF
"Raley, Luke",0.54,12,RF
"Ramos, Henry",-0.24,20,RF
"Ramírez, Harold",-0.32,77,RF
"Ray, Corey",0.27,2,RF
"Reddick, Josh",-0.66,57,RF
"Refsnyder, Rob",-0.88,20,RF
"Reks, Zach",0.25,5,RF
"Renfroe, Hunter",5.82,234,RF
"Rengifo, Luis",0.27,26,RF
"Reyes, Franmil",-1.16,17,RF
"Reyes, Victor",0.97,94,RF
"Riley, Austin",-1.9,2,RF
"Rivas III, Alfonso",-1.43,6,RF
"Rojas, Jose",-2.11,46,RF
"Rojas, Josh",3.17,52,RF
"Rondon, José",-1.45,11,RF
"Rooker, Brent",-1.92,11,RF
"Ruf, Darin",-0.65,12,RF
"Santander, Anthony",-0.43,181,RF
"Schebler, Scott",0.26,10,RF
"Schrock, Max",0.59,2,RF
"Sheets, Gavin",-0.98,20,RF
"Sierra, Magneuris",0.04,3,RF
"Siri, Jose",0.07,3,RF
"Slater, Austin",2.65,28,RF
"Smith, Pavin",-1.93,117,RF
"Soler, Jorge",-1.47,166,RF
"Soto, Juan",19.39,295,RF
"Souza Jr., Steven",-0.64,9,RF
"Springer, George",0.01,1,RF
"Stanton, Giancarlo",0.05,32,RF
"Stevenson, Andrew",-0.23,9,RF
"Stewart, DJ",0.1,69,RF
"Stokes Jr., Troy",0.66,11,RF
"Sánchez, Jesús",2.61,55,RF
"Tapia, Raimel",-0.73,3,RF
"Tatis Jr., Fernando",-1.74,31,RF
"Tauchman, Mike",0.91,12,RF
"Taylor, Chris",0.6,11,RF
"Taylor, Tyrone",1.55,39,RF
"Thomas, Dillon",-0.78,4,RF
"Thomas, Lane",-0.81,16,RF
"Thompson, Trayce",-0.07,14,RF
"Tom, Ka'ai",0.19,4,RF
"Tsutsugo, Yoshi",-1.34,30,RF
"Tucker, Cole",0.53,9,RF
"Tucker, Kyle",17.21,290,RF
"VanMeter, Josh",0.02,1,RF
"Varsho, Daulton",0.83,23,RF
"Vaughn, Andrew",-0.09,25,RF
"Verdugo, Alex",1.01,27,RF
"Vierling, Matt",0.93,2,RF
"Wade Jr., LaMonte",5.83,63,RF
"Wade, Tyler",1.03,8,RF
"Walsh, Jared",1.91,24,RF
"Ward, Taylor",2.26,97,RF
"White, Eli",-0.95,18,RF
"Wilkerson, Stevie",0.02,1,RF
"Williams, Justin",-2.09,34,RF
"Williams, Luke",-0.34,4,RF
"Winker, Jesse",-0.74,3,RF
"Wisdom, Patrick",0.37,5,RF
"Wong, Kean",0.79,10,RF
"Yastrzemski, Mike",9.5,217,RF
"Zimmer, Bradley",6.19,80,RF
