name_fielder,model_oaa,n_opp,position
"Adell, Jo",0.66,55,LF
"Adrianza, Ehire",0.47,10,LF
"Akiyama, Shogo",0.3,8,LF
"Alfaro, Jorge",0.41,19,LF
"Alford, Anthony",3.68,59,LF
"Allen, Greg",0.26,4,LF
"Almonte, Abraham",1.24,57,LF
"Alvarez, Yordan",-0.63,63,LF
"Andujar, Miguel",-4.68,75,LF
"Aquino, Aristides",-0.88,40,LF
"Arcia, Orlando",2.61,21,LF
"Arozarena, Randy",3.71,107,LF
"Arraez, Luis",-2.04,42,LF
"Baddoo, Akil",4.26,86,LF
"Bauers, Jake",-1.18,36,LF
"Beaty, Matt",-1.36,29,LF
"Bell, Josh",-0.89,10,LF
"Bemboom, Anthony",0.03,1,LF
"Benintendi, Andrew",9.74,237,LF
"Berti, Jon",0.29,5,LF
"Bishop, Braden",0.28,3,LF
"Blandino, Alex",0.01,1,LF
"Blankenhorn, Travis",0.12,1,LF
"Bolt, Skye",0.02,7,LF
"Bonifacio, Jorge",0.19,1,LF
"Bradley Jr., Jackie",3.2,21,LF
"Brantley, Michael",4.33,155,LF
"Brinson, Lewis",3.17,57,LF
"Brosseau, Mike",0.04,3,LF
"Brown, Seth",2.18,27,LF
"Bryant, Kris",1.82,60,LF
"Calhoun, Willie",-0.45,54,LF
"Cameron, Daz",0.07,1,LF
"Canha, Mark",0.43,150,LF
"Carlson, Dylan",-0.09,15,LF
"Castro, Harold",-0.92,2,LF
"Castro, Willi",-0.4,17,LF
"Cave, Jake",-0.72,29,LF
"Cordero, Franchy",1.84,42,LF
"Culberson, Charlie",-0.26,14,LF
"Dahl, David",-1.68,54,LF
"Davis, Jaylin",0.71,1,LF
"Davis, Khris",1.09,3,LF
"Daza, Yonathan",1.08,16,LF
"De La Cruz, Bryan",0.78,5,LF
"DeShields, Delino",0.97,6,LF
"Dean, Austin",-0.48,8,LF
"Deichmann, Greg",0.19,2,LF
"Dickerson, Alex",2.39,119,LF
"Dickerson, Corey",4.02,98,LF
"Dozier, Hunter",-1.04,14,LF
"Drury, Brandon",0.69,5,LF
"Duffy, Matt",-0.42,5,LF
"Duggar, Steven",0.05,3,LF
"Duvall, Adam",5.54,86,LF
"Dyson, Jarrod",0.7,18,LF
"Díaz, Aledmys",-0.59,24,LF
"Engel, Adam",0.14,1,LF
"Estrada, Thairo",0.89,5,LF
"Evans, Phillip",1.05,29,LF
"Fairchild, Stuart",0.2,2,LF
"Fargas, Johneshwy",0.84,2,LF
"Fraley, Jake",4.24,76,LF
"Frazier, Adam",0.29,7,LF
"Frazier, Clint",-3.72,54,LF
"Friedl, TJ",-0.24,4,LF
"Fuentes, Joshua",0.01,1,LF
"Gallo, Joey",2.33,91,LF
"Gamel, Ben",-2.02,149,LF
"García, Adolis",-1.15,9,LF
"García, Leury",0.23,17,LF
