name_fielder,model_oaa,n_opp,position
"Abreu, Wilyer",-0.82,12,LF
"Alvarez, Armando",0.43,4,LF
"Alvarez, Yordan",-4.73,87,LF
"Andujar, Miguel",0.73,146,LF
"Arias, Gabriel",0.02,1,LF
"Arozarena, Randy",6.76,298,LF
"Azócar, José",0.59,28,LF
"Baddoo, Akil",2.18,38,LF
"Barger, Addison",-1.02,16,LF
"Barrosa, Jorge",0.25,1,LF
"Bauers, Jake",0.67,10,LF
"Beck, Jordan",-3.34,71,LF
"Bellinger, Cody",0.01,1,LF
"Benintendi, Andrew",3.69,285,LF
"Benson, Will",1.44,88,LF
"Berroa, Steward",0.37,11,LF
"Blanco, Dairon",2.51,51,LF
"Bouchard, Sean",-3.18,25,LF
"Brennan, Will",0.7,20,LF
"Brown, Seth",1.21,97,LF
"Bruján, Vidal",0.23,1,LF
"Burleson, Alec",1.17,65,LF
"Cabbage, Trey",0.51,6,LF
"Call, Alex",0.02,2,LF
"Cameron, Daz",-2.66,40,LF
"Campero, Gustavo",0.09,1,LF
"Canario, Alexander",0.28,16,LF
"Canha, Mark",3.83,48,LF
"Canzone, Dominic",1.69,25,LF
"Capel, Conner",0.91,2,LF
"Carlson, Dylan",1.03,63,LF
"Carpenter, Kerry",0.6,4,LF
"Carter, Evan",3.54,64,LF
"Castro, Willi",0.97,63,LF
"Cave, Jake",0.41,54,LF
"Chourio, Jackson",9.66,159,LF
"Clase, Jonatan",-0.89,25,LF
"Clemens, Kody",0.62,5,LF
"Collins, Isaac",-0.3,8,LF
"Conforto, Michael",5.92,166,LF
"Conine, Griffin",2.12,13,LF
"Cook, Billy",1.39,5,LF
"Cooper, Garrett",0.04,1,LF
"Cowser, Colton",13.56,212,LF
"Dahl, David",2.7,17,LF
"De La Cruz, Bryan",-2.89,96,LF
"DeLoach, Zach",-0.02,16,LF
"DeLuca, Jonny",1.82,18,LF
"Domínguez, Jasson",0.58,21,LF
"Donovan, Brendan",11.75,182,LF
"Dubón, Mauricio",7.32,99,LF
"Dunn, Blake",1.57,14,LF
"Duran, Ezequiel",3.8,36,LF
"Duran, Jarren",12.45,131,LF
"Duvall, Adam",0.77,72,LF
"Ellis, Duke",-0.55,4,LF
"Encarnacion, Jerar",0.09,2,LF
"Espinal, Santiago",0.3,5,LF
"Fabian, Sandro",0.05,1,LF
"Fairchild, Stuart",1.51,8,LF
"Fitzgerald, Tyler",0.32,4,LF
"Fletcher, Dominic",0.02,1,LF
"Florial, Estevan",1.29,18,LF
"Fraley, Jake",0.11,9,LF
"Frazier, Adam",1.25,8,LF
"Frelick, Sal",0.15,29,LF
"Fry, David",1.19,24,LF
"Gallo, Joey",0.03,2,LF
"Gamel, Ben",-1.18,15,LF
"Gonzalez, Romy",0.01,1,LF
"Goodman, Hunter",0.08,10,LF
"Goodrum, Niko",-0.65,3,LF
"Gordon, Nick",-1.47,110,LF
"Greene, Riley",12.33,171,LF
"Grichuk, Randal",1.52,23,LF
"Grossman, Robbie",1.48,20,LF
"Gurriel Jr., Lourdes",18.58,262,LF
"Haggerty, Sam",0.5,6,LF
"Hampson, Garrett",2.57,16,LF
"Happ, Ian",11.45,339,LF
"Hays, Austin",5.07,135,LF
"Hensley, David",0.68,4,LF
"Hernández, Enrique",1.64,21,LF
"Hernández, Teoscar",1.87,219,LF
"Heyward, Jason",2.29,14,LF
"Hicks, Aaron",0.01,1,LF
"Hill, Derek",-0.5,29,LF
"Hilliard, Sam",4.76,32,LF
"Hinds, Rece",0.04,2,LF
"Hummel, Cooper",0.49,3,LF
"Hurtubise, Jacob",2.57,31,LF
"Ibáñez, Andy",-0.37,8,LF
"Jankowski, Travis",2.01,23,LF
"Joe, Connor",-0.08,15,LF
"Johnson, Bryce",0.29,2,LF
"Jones, Jahmai",0.1,4,LF
"Jones, Nolan",-0.93,121,LF
"Jordan, Levi",0.04,2,LF
"Judge, Aaron",-0.08,16,LF
"Julks, Corey",-0.68,41,LF
"Kelenic, Jarred",3.48,133,LF
"Kirilloff, Alex",1.35,37,LF
"Kjerstad, Heston",-0.06,23,LF
"Kwan, Steven",9.51,206,LF
"Langford, Wyatt",5.18,203,LF
"Larnach, Trevor",5.65,83,LF
"Laureano, Ramón",1.75,47,LF
"Lockridge, Brandon",0.09,3,LF
"Loperfido, Joey",5.97,90,LF
"Lowe, Josh",0.47,27,LF
"Lukes, Nathan",-0.49,27,LF
"Malloy, Justyn-Henry",-0.51,21,LF
"Margot, Manuel",3.28,76,LF
"Marsh, Brandon",4.46,148,LF
"Martin, Austin",-1.24,56,LF
"Martini, Nick",0.29,10,LF
"Martínez, Angel",-1.82,17,LF
"Martínez, J.P.",0.48,1,LF
"Mastrobuoni, Miles",0.09,1,LF
"Matos, Luis",1.0,8,LF
"McCarthy, Jake",-1.62,44,LF
"McCormick, Chas",4.57,67,LF
"McKenna, Ryan",1.51,4,LF
"McKinney, Billy",0.08,10,LF
"McKinstry, Zach",1.61,22,LF
"McNeil, Jeff",0.58,12,LF
"Melendez, MJ",6.87,221,LF
"Merrifield, Whit",-1.8,35,LF
"Misner, Kameron",0.38,4,LF
"Monasterio, Andruw",0.01,1,LF
"Moniak, Mickey",-0.24,5,LF
"Moore, Dylan",-0.32,39,LF
"Morel, Christopher",-0.39,17,LF
"Myers, Dane",0.4,5,LF
"Nevin, Tyler",-2.6,18,LF
"Newman, Kevin",0.03,1,LF
"Nimmo, Brandon",6.09,235,LF
"Nootbaar, Lars",5.09,47,LF
"O'Hearn, Ryan",-0.64,8,LF
"O'Neill, Tyler",3.47,106,LF
"Olivares, Edward",0.06,1,LF
"Pache, Cristian",0.83,22,LF
"Pages, Andy",1.37,12,LF
"Palacios, Joshua",0.48,3,LF
"Palacios, Richie",1.65,33,LF
"Peralta, David",-0.78,17,LF
"Pham, Tommy",3.88,57,LF
"Pillar, Kevin",0.3,34,LF
"Profar, Jurickson",3.48,263,LF
"Pérez, Wenceel",0.64,1,LF
"Raley, Luke",2.71,116,LF
"Ramos, Heliot",3.76,90,LF
"Ramírez, Harold",0.25,8,LF
"Refsnyder, Rob",5.83,77,LF
"Remillard, Zach",0.17,2,LF
"Reynolds, Bryan",0.27,239,LF
"Robles, Victor",2.94,27,LF
"Rojas, Josh",0.28,8,LF
"Rooker, Brent",-1.79,17,LF
"Rosario, Eddie",-0.52,65,LF
"Ruiz, Esteury",0.96,26,LF
"Sanoja, Javier",0.11,3,LF
"Schneemann, Daniel",-0.33,8,LF
"Schneider, Davis",8.94,168,LF
"Schuemann, Max",0.49,4,LF
"Schwarber, Kyle",-0.87,13,LF
"Scott II, Victor",0.04,1,LF
"Siani, Michael",1.2,7,LF
"Slater, Austin",2.25,32,LF
"Smith, Josh",-0.56,7,LF
"Smith, Pavin",0.98,22,LF
"Soler, Jorge",-0.24,3,LF
"Soto, Juan",1.06,11,LF
"Steer, Spencer",4.89,187,LF
"Stevenson, Cal",0.64,4,LF
"Stewart, DJ",-0.16,14,LF
"Stowers, Kyle",2.28,73,LF
"Suwinski, Jack",-0.16,59,LF
"Sánchez, Jesús",0.21,9,LF
"Tauchman, Mike",2.23,24,LF
"Taylor, Chris",2.2,60,LF
"Taylor, Michael A.",-0.13,4,LF
"Taylor, Samad",0.28,2,LF
"Taylor, Tyrone",2.24,28,LF
"Toglia, Michael",0.79,1,LF
