name_fielder,model_oaa,n_opp,position
"Adell, Jo",-0.35,116,LF
"Adrianza, Ehire",-0.21,8,LF
"Aguilar, Ryan",0.68,6,LF
"Alford, Anthony",-0.83,2,LF
"Allen, Greg",3.44,42,LF
"Almonte, Abraham",0.62,7,LF
"Almora Jr., Albert",-0.3,35,LF
"Alvarez, Eddy",0.02,1,LF
"Alvarez, Yordan",-2.33,105,LF
"Anderson, Brian",1.22,12,LF
"Andujar, Miguel",5.35,48,LF
"Aquino, Aristides",0.24,12,LF
"Arcia, Orlando",-1.73,12,LF
"Arozarena, Randy",1.86,174,LF
"Azócar, José",1.54,12,LF
"Baddoo, Akil",8.46,125,LF
"Bae, Ji Hwan",0.46,4,LF
"Barrera, Luis",2.1,20,LF
"Batten, Matthew",0.26,1,LF
"Beaty, Matt",-0.08,2,LF
"Beckham, Tim",-0.71,4,LF
"Benintendi, Andrew",10.92,222,LF
"Benson, Will",0.46,10,LF
"Bernard, Wynton",0.12,3,LF
"Berti, Jon",0.78,27,LF
"Bleday, JJ",-1.05,31,LF
"Bolt, Skye",0.03,1,LF
"Bouchard, Sean",0.51,58,LF
"Brantley, Michael",3.17,63,LF
"Brennan, Will",-0.03,10,LF
"Brown, Seth",2.45,37,LF
"Bryant, Kris",-0.36,41,LF
"Burdick, Peyton",-2.13,21,LF
"Burleson, Alec",0.24,2,LF
"Cabrera, Oswaldo",0.7,18,LF
"Calhoun, Kole",-1.4,60,LF
"Calhoun, Willie",0.77,5,LF
"Call, Alex",1.29,38,LF
"Canha, Mark",-0.02,193,LF
"Carpenter, Kerry",1.65,23,LF
"Carpenter, Matt",0.6,5,LF
"Carroll, Corbin",4.95,34,LF
"Castellanos, Nick",0.33,5,LF
"Castro, Harold",0.04,2,LF
"Castro, Willi",0.55,41,LF
"Cave, Jake",0.78,64,LF
"Celestino, Gilberto",0.52,38,LF
"Clemens, Kody",0.55,14,LF
"Clement, Ernie",0.17,17,LF
"Contreras, Mark",0.08,3,LF
"Contreras, William",-0.9,1,LF
"Cordero, Franchy",0.75,10,LF
"Culberson, Charlie",-0.17,15,LF
"Davis, Jaylin",0.12,3,LF
"Daza, Yonathan",-1.68,54,LF
"De La Cruz, Bryan",4.72,51,LF
"Dean, Austin",0.18,4,LF
"Demeritte, Travis",-0.74,9,LF
"Dickerson, Corey",2.3,88,LF
"Donovan, Brendan",0.93,35,LF
"Dozier, Hunter",0.62,12,LF
"Dubón, Mauricio",1.29,12,LF
"Duggar, Steven",-0.44,15,LF
"Duvall, Adam",1.82,47,LF
"Díaz, Aledmys",2.62,41,LF
"Eaton, Nate",-0.5,6,LF
"Encarnacion, Jerar",0.77,13,LF
"Engel, Adam",0.05,2,LF
"Estrada, Thairo",-2.0,20,LF
"Fairchild, Stuart",1.71,28,LF
"Florial, Estevan",-0.04,1,LF
"Fraley, Jake",0.01,50,LF
"Frazier, Adam",-0.19,23,LF
"Frazier, Clint",-1.67,9,LF
"Friedl, TJ",3.49,38,LF
"Gallo, Joey",-0.7,115,LF
"Gamel, Ben",1.72,91,LF
"Garcia, Dérmis",0.09,1,LF
"García, Leury",2.11,8,LF
"Garlick, Kyle",0.27,42,LF
"Garrett, Stone",0.38,19,LF
"Gonzalez, Marwin",0.69,21,LF
"González, Luis",1.57,55,LF
"Gordon, Nick",3.52,102,LF
"Gore, Terrance",0.07,1,LF
"Grossman, Robbie",9.11,135,LF
"Gurriel Jr., Lourdes",5.44,154,LF
"Haase, Eric",1.72,15,LF
"Haggerty, Sam",8.43,61,LF
"Hamilton, Billy",-0.65,5,LF
"Happ, Ian",13.08,298,LF
"Harrison, Monte",0.14,7,LF
"Haseley, Adam",0.16,6,LF
"Hays, Austin",3.76,178,LF
"Hensley, David",0.02,1,LF
"Heredia, Guillermo",0.51,18,LF
"Hermosillo, Michael",0.37,1,LF
"Hernandez, Elier",0.94,10,LF
"Hernandez, Yadiel",0.85,141,LF
"Hernández, César",1.87,19,LF
"Hernández, Teoscar",0.89,13,LF
"Herrera, Odúbel",1.18,10,LF
"Hicks, Aaron",6.0,105,LF
"Hilliard, Sam",7.66,85,LF
"Hiura, Keston",-0.34,10,LF
"Hummel, Cooper",1.1,34,LF
"Inciarte, Ender",0.14,4,LF
"Isbel, Kyle",5.42,47,LF
"Jankowski, Travis",0.5,6,LF
"Jiménez, Eloy",0.25,50,LF
"Joe, Connor",4.7,96,LF
"Kelenic, Jarred",-0.18,13,LF
"Kemp, Tony",8.78,114,LF
"Kirilloff, Alex",-0.99,44,LF
"Krizan, Jason",0.12,5,LF
"Kwan, Steven",21.2,261,LF
"Lagares, Juan",0.38,7,LF
"Lamb, Jake",-0.67,8,LF
"Larnach, Trevor",1.8,64,LF
"Lewis, Kyle",0.55,4,LF
"Locastro, Tim",0.85,7,LF
"Lopez, Alejo",0.54,8,LF
"Lowe, Josh",1.23,17,LF
"Luplow, Jordan",1.0,44,LF
"Lux, Gavin",-1.34,34,LF
"Madris, Bligh",0.55,10,LF
"Mancini, Trey",1.48,23,LF
