name_fielder,model_oaa,n_opp,position
"Marcano, Tucupita",-0.71,43,LF
"Margot, Manuel",0.43,13,LF
"Marisnick, Jake",3.8,21,LF
"Marsh, Brandon",15.49,144,LF
"Mathias, Mark",0.03,2,LF
"Maton, Nick",-0.14,10,LF
"Mayfield, Jack",0.1,2,LF
"Mazara, Nomar",0.03,2,LF
"McCarthy, Jake",-2.01,41,LF
"McCormick, Chas",3.2,66,LF
"McCutchen, Andrew",3.66,56,LF
"McKenna, Ryan",2.77,42,LF
"McKinney, Billy",0.44,6,LF
"McKinstry, Zach",1.18,3,LF
"McNeil, Jeff",3.82,64,LF
"Meadows, Austin",2.81,35,LF
"Melendez, MJ",3.31,44,LF
"Mendick, Danny",-0.44,1,LF
"Meneses, Joey",0.01,1,LF
"Mercado, Óscar",1.47,21,LF
"Mercedes, Yermín",0.32,6,LF
"Merrifield, Whit",0.47,5,LF
"Miller, Brad",-1.31,42,LF
"Moniak, Mickey",2.4,14,LF
"Moore, Dylan",1.73,22,LF
"Muñoz, Yairo",0.02,1,LF
"Myers, Wil",1.41,13,LF
"Naquin, Tyler",1.19,20,LF
"Nevin, Tyler",0.17,3,LF
"Nootbaar, Lars",0.72,12,LF
"O'Neill, Tyler",2.73,125,LF
"Olivares, Edward",1.06,22,LF
"Ortega, Rafael",-0.61,11,LF
"Outman, James",0.5,3,LF
"Owings, Chris",0.05,2,LF
"Ozuna, Marcell",-2.69,79,LF
"Palacios, Joshua",-0.09,9,LF
"Palacios, Richie",-0.43,46,LF
"Payton, Mark",-0.49,11,LF
"Pederson, Joc",-2.24,140,LF
"Peralta, David",7.88,234,LF
"Peterson, Jace",-1.11,6,LF
"Pham, Tommy",3.15,255,LF
"Phillips, Brett",0.49,10,LF
"Pillar, Kevin",0.63,7,LF
"Pinder, Chad",4.03,107,LF
"Piscotty, Stephen",1.1,12,LF
"Plummer, Nick",-0.16,7,LF
"Pollock, AJ",1.38,163,LF
"Pratto, Nick",0.47,8,LF
"Profar, Jurickson",1.82,267,LF
"Quinn, Roman",0.09,3,LF
"Raley, Luke",1.8,12,LF
"Ramírez, Harold",0.62,6,LF
"Refsnyder, Rob",-0.36,11,LF
"Reks, Zach",-0.53,14,LF
"Reyes, Franmil",-0.22,6,LF
"Reyes, Victor",3.05,24,LF
"Reynolds, Bryan",0.91,5,LF
"Reynolds, Matt",-0.33,4,LF
"Rivas III, Alfonso",0.08,1,LF
"Rojas, Jose",0.07,1,LF
"Rooker, Brent",0.74,12,LF
"Rosario, Amed",0.63,9,LF
"Rosario, Eddie",-0.52,78,LF
"Ruf, Darin",-1.82,26,LF
"Ruiz, Esteury",-0.15,5,LF
"Santander, Anthony",-3.15,64,LF
"Schrock, Max",0.09,3,LF
"Schwarber, Kyle",-7.29,249,LF
"Sheets, Gavin",0.08,2,LF
"Sierra, Magneuris",-1.24,12,LF
"Siri, Jose",0.05,1,LF
"Slater, Austin",1.29,6,LF
"Smith, Josh",1.56,34,LF
"Smith-Njigba, Canaan",-0.81,5,LF
"Solak, Nick",-1.78,34,LF
"Soler, Jorge",0.68,95,LF
"Sosa, Edmundo",0.02,1,LF
"Stanton, Giancarlo",-0.67,12,LF
"Stevenson, Cal",0.01,1,LF
"Stowers, Kyle",0.11,17,LF
"Strange-Gordon, Dee",0.02,1,LF
"Suwinski, Jack",2.06,83,LF
"Swaggerty, Travis",0.04,1,LF
"Sánchez, Jesús",-0.75,13,LF
"Tapia, Raimel",-0.08,81,LF
"Taylor, Chris",0.94,143,LF
"Taylor, Tyrone",4.84,29,LF
"Thomas, Cody",-0.79,20,LF
"Thomas, Dillon",-0.46,3,LF
"Thomas, Lane",0.41,100,LF
"Thompson, Bubba",1.52,64,LF
"Thompson, Trayce",1.02,56,LF
"Trammell, Taylor",-0.85,6,LF
"Upton, Justin",0.21,2,LF
"Vargas, Miguel",-0.25,11,LF
"Vaughn, Andrew",-4.3,80,LF
"Vavra, Terrin",-0.3,12,LF
"Velázquez, Nelson",-0.18,11,LF
"Verdugo, Alex",3.69,175,LF
"Vierling, Matt",1.61,39,LF
"Vosler, Jason",-1.27,4,LF
"Wade Jr., LaMonte",-0.59,12,LF
"Wade, Tyler",0.38,4,LF
"Walker, Steele",0.08,9,LF
"Walsh, Jared",0.02,1,LF
"Ward, Taylor",-0.12,3,LF
"Waters, Drew",0.76,8,LF
"White, Eli",3.43,27,LF
"Williams, Luke",0.98,35,LF
"Winker, Jesse",6.8,197,LF
"Wisdom, Patrick",-1.07,8,LF
"Yelich, Christian",8.0,206,LF
"Yepez, Juan",-2.74,32,LF
"Aguilar, Ryan",0.79,4,CF
"Allen, Greg",0.8,21,CF
"Almonte, Abraham",-0.59,10,CF
"Almora Jr., Albert",6.15,52,CF
"Aquino, Aristides",0.17,5,CF
"Azócar, José",10.5,85,CF
"Baddoo, Akil",0.08,42,CF
"Bader, Harrison",25.44,227,CF
"Bae, Ji Hwan",1.0,9,CF
"Barrera, Luis",0.89,2,CF
"Bellinger, Cody",30.84,332,CF
"Benson, Will",1.1,18,CF
"Bernard, Wynton",1.29,19,CF
"Berti, Jon",-0.51,2,CF
"Blanco, Dairon",1.59,5,CF
"Bleday, JJ",6.23,84,CF
"Bolt, Skye",4.58,77,CF
"Bradley Jr., Jackie",9.84,95,CF
"Brennan, Will",0.37,1,CF
"Brinson, Lewis",0.21,20,CF
"Brown, Seth",5.13,32,CF
"Burdick, Peyton",2.09,23,CF
"Buxton, Byron",17.79,132,CF
"Cain, Lorenzo",13.21,87,CF
"Call, Alex",0.13,8,CF
"Cameron, Daz",-0.12,22,CF
"Canha, Mark",1.45,18,CF
"Carlson, Dylan",11.62,159,CF
"Carroll, Corbin",0.85,8,CF
"Castro, Willi",2.86,34,CF
"Cave, Jake",0.56,7,CF
"Celestino, Gilberto",23.59,205,CF
"Contreras, Mark",4.3,31,CF
"Cordero, Franchy",0.07,4,CF
"Crook, Narciso",0.26,1,CF
"Davis, Jaylin",1.14,3,CF
"Davis, Jonathan",6.13,60,CF
"Daza, Yonathan",15.03,197,CF
"De La Cruz, Bryan",4.92,73,CF
"DeLuzio, Ben",3.62,20,CF
"Dubón, Mauricio",8.98,89,CF
"Duggar, Steven",3.52,24,CF
"Duran, Jarren",6.56,133,CF
"Duvall, Adam",13.34,103,CF
"Eaton, Nate",1.86,11,CF
"Edman, Tommy",-0.5,2,CF
"Engel, Adam",10.38,98,CF
"Fairchild, Stuart",6.11,25,CF
"Florial, Estevan",1.42,29,CF
"Fraley, Jake",0.76,16,CF
"Frazier, Adam",0.33,1,CF
"Friedl, TJ",4.49,63,CF
"Gallo, Joey",0.35,2,CF
"Gamel, Ben",0.01,1,CF
"García, Adolis",14.96,109,CF
"García, Leury",2.84,11,CF
"González, Luis",2.57,11,CF
"Gordon, Nick",4.1,69,CF
"Gore, Terrance",0.5,5,CF
"Greene, Riley",27.74,253,CF
"Grichuk, Randal",9.4,112,CF
"Grisham, Trent",43.51,380,CF
"Haggerty, Sam",2.35,12,CF
"Hamilton, Billy",0.52,5,CF
"Hampson, Garrett",2.6,55,CF
"Happ, Ian",0.4,3,CF
"Harris II, Michael",27.68,265,CF
"Harrison, Monte",0.01,1,CF
"Haseley, Adam",1.64,5,CF
"Hays, Austin",1.68,8,CF
"Heredia, Guillermo",-0.18,13,CF
"Hermosillo, Michael",4.22,54,CF
"Hernández, Enrique",18.36,202,CF
"Herrera, Odúbel",11.05,125,CF
"Heyward, Jason",4.95,51,CF
"Hicklen, Brewer",0.2,1,CF
"Hicks, Aaron",7.52,130,CF
"Hill, Derek",9.5,76,CF
"Hilliard, Sam",0.04,31,CF
"Isbel, Kyle",5.68,55,CF
"Jankowski, Travis",2.37,18,CF
"Johnson, Bryce",0.41,6,CF
"Judge, Aaron",19.9,172,CF
"Kelenic, Jarred",7.99,54,CF
"Kepler, Max",-1.08,5,CF
"Kiermaier, Kevin",11.57,140,CF
"Kwan, Steven",-0.44,11,CF
"Lagares, Juan",0.88,7,CF
"Laureano, Ramón",4.7,81,CF
"Lewis, Royce",0.33,3,CF
"Locastro, Tim",0.11,7,CF
"Lowe, Josh",0.87,12,CF
"Luplow, Jordan",1.2,11,CF
"Margot, Manuel",2.84,24,CF
"Marisnick, Jake",1.48,28,CF
"Marsh, Brandon",12.47,155,CF
"McCarthy, Jake",1.87,32,CF
"McCormick, Chas",18.42,130,CF
"McCutchen, Andrew",0.73,5,CF
"McDonald, Mickey",0.01,1,CF
"McKenna, Ryan",5.87,49,CF
"Mercado, Óscar",-0.01,6,CF
"Merrifield, Whit",4.94,40,CF
"Meyers, Jake",14.85,122,CF
"Mitchell, Garrett",4.03,40,CF
"Moniak, Mickey",4.18,51,CF
"Moore, Dylan",1.92,23,CF
"Morel, Christopher",5.81,112,CF
"Mullins, Cedric",41.67,378,CF
"Muzziotti, Símon",2.05,11,CF
"Myers, Wil",0.21,8,CF
"Naquin, Tyler",0.02,1,CF
"Nimmo, Brandon",27.23,320,CF
"Nootbaar, Lars",1.75,20,CF
"O'Neill, Tyler",2.33,34,CF
"Olivares, Edward",0.01,1,CF
"Ortega, Rafael",5.31,108,CF
"Pache, Cristian",26.64,197,CF
"Payton, Mark",-0.06,2,CF
"Phillips, Brett",10.2,85,CF
"Pollock, AJ",10.34,81,CF
"Quinn, Roman",7.85,47,CF
"Refsnyder, Rob",2.48,35,CF
"Reyes, Victor",-0.8,11,CF
"Reynolds, Bryan",20.02,279,CF
"Robert Jr., Luis",25.32,220,CF
"Robles, Victor",31.71,355,CF
"Rodríguez, Julio",43.03,389,CF
"Ruiz, Esteury",1.87,7,CF
"Senzel, Nick",23.08,253,CF
"Siani, Michael",-0.53,15,CF
"Sierra, Magneuris",9.27,63,CF
"Siri, Jose",35.22,236,CF
"Slater, Austin",14.68,126,CF
"Springer, George",22.05,149,CF
"Stevenson, Cal",6.09,42,CF
"Strange-Gordon, Dee",0.2,4,CF
"Straw, Myles",44.64,415,CF
"Suwinski, Jack",3.46,33,CF
"Swaggerty, Travis",-0.33,1,CF
"Sánchez, Jesús",16.17,151,CF
"Tapia, Raimel",10.74,63,CF
"Taveras, Leody",22.9,217,CF
"Taylor, Chris",3.44,23,CF
"Taylor, Michael A.",27.51,293,CF
"Taylor, Tyrone",19.52,187,CF
"Thomas, Alek",34.18,334,CF
"Thomas, Lane",16.18,104,CF
"Thompson, Bubba",3.82,24,CF
"Thompson, Trayce",6.08,46,CF
"Trammell, Taylor",0.88,10,CF
"Trout, Mike",28.36,268,CF
"Varsho, Daulton",10.9,101,CF
"Velázquez, Nelson",-1.96,51,CF
"Vierling, Matt",10.37,126,CF
"Wade Jr., LaMonte",0.01,1,CF
"Wade, Tyler",-0.76,3,CF
"Ward, Taylor",0.94,13,CF
"Waters, Drew",-3.61,28,CF
"White, Eli",8.1,46,CF
"Whitefield, Aaron",0.79,2,CF
"Wisdom, Patrick",-0.47,4,CF
"Yastrzemski, Mike",20.45,156,CF
"Zimmer, Bradley",9.91,91,CF
"Abrams, CJ",0.19,4,RF
"Acuña Jr., Ronald",-1.16,162,RF
"Adell, Jo",-0.09,44,RF
"Aguilar, Ryan",0.23,3,RF
"Alberto, Hanser",-0.82,1,RF
"Allen, Greg",-0.77,7,RF
"Almora Jr., Albert",2.96,61,RF
"Alvarez, Eddy",-1.15,13,RF
"Anderson, Brian",1.79,72,RF
"Aquino, Aristides",5.89,138,RF
"Arozarena, Randy",1.44,43,RF
"Arroyo, Christian",-4.1,25,RF
"Azócar, José",3.56,54,RF
"Barrera, Luis",3.98,26,RF
"Beaty, Matt",-0.77,12,RF
"Benson, Will",-1.09,6,RF
"Bernard, Wynton",0.05,2,RF
"Betts, Mookie",16.2,311,RF
"Biggio, Cavan",2.83,14,RF
"Blackmon, Charlie",-0.23,92,RF
"Bleday, JJ",0.83,5,RF
"Bolt, Skye",0.91,9,RF
"Bradley Jr., Jackie",10.49,156,RF
"Brennan, Will",0.65,7,RF
"Brown, Seth",0.08,61,RF
"Bruján, Vidal",1.77,16,RF
"Burdick, Peyton",0.74,6,RF
"Burleson, Alec",0.54,15,RF
"Cabrera, Oswaldo",3.45,49,RF
"Calhoun, Kole",2.25,121,RF
"Call, Alex",1.84,6,RF
"Cameron, Daz",2.8,22,RF
"Canha, Mark",-0.94,11,RF
"Capel, Conner",1.67,52,RF
"Carlson, Dylan",-0.91,87,RF
"Carpenter, Kerry",0.71,13,RF
"Carpenter, Matt",0.82,23,RF
"Carroll, Corbin",0.01,3,RF
"Castellanos, Nick",3.9,280,RF
"Castillo, Diego",-0.19,34,RF
"Castro, Willi",1.88,83,RF
"Cave, Jake",1.36,20,RF
"Celestino, Gilberto",-0.41,13,RF
"Contreras, Mark",-0.08,14,RF
"Cordero, Franchy",1.84,37,RF
"Crook, Narciso",0.36,3,RF
"Davis, Brendon",-0.54,2,RF
"Davis, Jaylin",0.46,6,RF
"De La Cruz, Bryan",2.43,55,RF
"Demeritte, Travis",3.11,44,RF
"Dickerson, Corey",0.07,7,RF
"Dixon, Brandon",0.01,1,RF
"Donovan, Brendan",0.86,34,RF
"Dozier, Hunter",-0.52,55,RF
"Dubón, Mauricio",0.09,2,RF
"Duran, Jarren",0.53,17,RF
"Duvall, Adam",-0.17,21,RF
"Díaz, Yusniel",0.04,1,RF
"Eaton, Nate",4.5,33,RF
"Edman, Tommy",0.05,1,RF
"Encarnacion, Jerar",-0.68,23,RF
"Engel, Adam",0.19,74,RF
"Fairchild, Stuart",0.75,6,RF
"Fraley, Jake",0.83,31,RF
"Frazier, Adam",2.56,31,RF
"Frazier, Clint",0.16,6,RF
"Friedl, TJ",2.81,32,RF
"Gallo, Joey",2.75,55,RF
"Gamel, Ben",0.67,61,RF
"García, Adolis",0.87,177,RF
"García, Avisaíl",1.15,141,RF
"García, Leury",-1.02,22,RF
"Garlick, Kyle",-0.5,30,RF
"Gonzalez, Marwin",4.27,22,RF
"Gonzalez, Oscar",0.65,181,RF
"Gonzalez, Romy",0.03,1,RF
"González, Luis",-1.41,110,RF
"Grichuk, Randal",3.77,153,RF
"Grossman, Robbie",6.26,121,RF
"Guthrie, Dalton",-0.11,15,RF
"Haggerty, Sam",8.2,51,RF
"Haniger, Mitch",6.24,122,RF
"Harper, Bryce",0.61,14,RF
"Haseley, Adam",0.9,8,RF
"Hays, Austin",3.06,122,RF
"Heredia, Guillermo",1.57,26,RF
"Hernandez, Elier",0.17,4,RF
"Hernández, Teoscar",10.14,196,RF
"Herrera, Odúbel",-0.1,7,RF
"Heyward, Jason",0.69,43,RF
"Hicklen, Brewer",0.02,1,RF
"Hilliard, Sam",0.02,1,RF
"Inciarte, Ender",0.58,5,RF
"Isbel, Kyle",9.19,94,RF
"Jackson, Drew",0.05,1,RF
"Jankowski, Travis",-0.55,14,RF
"Joe, Connor",-1.49,36,RF
"Johnson, Bryce",0.6,7,RF
"Jones, Nolan",3.49,46,RF
"Judge, Aaron",10.21,147,RF
"Kelenic, Jarred",2.35,49,RF
"Kepler, Max",10.95,232,RF
"Kirilloff, Alex",0.1,4,RF
"Kwan, Steven",-0.67,36,RF
"Lagares, Juan",-1.22,10,RF
"Lamb, Jake",0.06,9,RF
"Larnach, Trevor",0.67,27,RF
"Laureano, Ramón",1.67,120,RF
"Lewis, Kyle",1.54,9,RF
"Locastro, Tim",0.91,6,RF
"Lopes, Christian",0.04,1,RF
"Lowe, Josh",0.6,60,RF
"Luplow, Jordan",-0.43,61,RF
"Madris, Bligh",-1.63,39,RF
"Mancini, Trey",1.61,30,RF
"Margot, Manuel",4.69,108,RF
"Marisnick, Jake",-0.01,7,RF
"Marsh, Brandon",0.41,3,RF
"Marte, Starling",4.51,231,RF
"Mastrobuoni, Miles",0.36,7,RF
"Mathias, Mark",0.07,1,RF
"Maton, Nick",0.98,17,RF
"Mayfield, Jack",-0.33,7,RF
"Mazara, Nomar",2.58,96,RF
"McCarthy, Jake",-1.74,91,RF
"McCormick, Chas",0.79,23,RF
"McCutchen, Andrew",-0.85,34,RF
"McDonald, Mickey",0.31,1,RF
"McKenna, Ryan",1.4,17,RF
"McKinney, Billy",1.49,10,RF
"McKinstry, Zach",0.34,2,RF
"McNeil, Jeff",0.12,20,RF
"Meadows, Austin",3.55,45,RF
"Melendez, MJ",0.31,28,RF
"Meneses, Joey",0.28,56,RF
"Mercado, Óscar",4.04,57,RF
"Merrifield, Whit",-0.49,73,RF
"Miller, Brad",-0.67,2,RF
"Mitchell, Cal",0.49,97,RF
"Moore, Dylan",-1.03,63,RF
"Muñoz, Yairo",0.08,2,RF
"Myers, Wil",3.07,70,RF
"Naquin, Tyler",-0.21,124,RF
"Naylor, Josh",-0.21,10,RF
"Nevin, Tyler",-0.94,2,RF
"Nootbaar, Lars",4.18,162,RF
"O'Hearn, Ryan",-0.72,18,RF
"Olivares, Edward",2.56,53,RF
"Ortega, Rafael",0.49,29,RF
"Palacios, Joshua",-0.89,14,RF
"Park, Hoy",-0.7,4,RF
"Pederson, Joc",-1.16,14,RF
"Peterson, Jace",-0.34,22,RF
"Phillips, Brett",7.32,58,RF
"Pinder, Chad",5.31,51,RF
"Piscotty, Stephen",-0.85,49,RF
"Plummer, Nick",0.01,1,RF
"Pollock, AJ",-1.54,21,RF
"Pratto, Nick",0.01,1,RF
"Quinn, Roman",1.06,7,RF
"Raley, Luke",-0.06,14,RF
"Ramos, Heliot",-1.17,15,RF
"Ramírez, Harold",2.4,28,RF
"Refsnyder, Rob",-0.43,34,RF
"Reks, Zach",0.03,1,RF
"Renfroe, Hunter",3.69,232,RF
"Rengifo, Luis",0.3,2,RF
"Reyes, Franmil",1.53,21,RF
"Reyes, Victor",7.56,129,RF
"Reynolds, Matt",1.26,15,RF
"Rivas III, Alfonso",0.05,1,RF
"Rojas, Jose",0.44,11,RF
"Rooker, Brent",-0.66,1,RF
"Rosario, Eddie",-1.8,29,RF
"Ruf, Darin",-1.93,13,RF
"Ruiz, Esteury",1.45,9,RF
"Santander, Anthony",1.6,181,RF
"Schrock, Max",0.0,6,RF
"Sheets, Gavin",-3.99,180,RF
"Sierra, Magneuris",0.28,1,RF
"Siri, Jose",0.87,6,RF
"Slater, Austin",-1.2,11,RF
"Smith, Pavin",3.02,85,RF
"Soto, Juan",-3.5,370,RF
"Souza Jr., Steven",-0.37,12,RF
"Springer, George",-0.32,10,RF
"Stanton, Giancarlo",-0.47,52,RF
"Stevenson, Cal",0.16,1,RF
"Stowers, Kyle",-0.32,26,RF
"Suwinski, Jack",1.41,62,RF
"Suzuki, Seiya",3.03,218,RF
"Tapia, Raimel",0.98,44,RF
"Taylor, Chris",1.06,13,RF
"Taylor, Tyrone",0.02,33,RF
"Thomas, Dillon",0.58,7,RF
"Thomas, Lane",-1.63,105,RF
"Thompson, Bubba",-0.85,15,RF
"Thompson, Trayce",0.43,49,RF
"Toglia, Michael",-3.14,24,RF
"Trammell, Taylor",3.8,60,RF
"Tucker, Cole",-0.49,15,RF
"Tucker, Kyle",16.19,331,RF
"Upton, Justin",0.14,6,RF
"Varsho, Daulton",6.92,179,RF
"Vaughn, Andrew",-5.05,81,RF
"Vavra, Terrin",0.01,1,RF
"Velázquez, Nelson",1.73,40,RF
"Verdugo, Alex",-1.46,109,RF
"Vierling, Matt",2.18,45,RF
"Wade Jr., LaMonte",-0.11,37,RF
"Wade, Tyler",-1.62,7,RF
"Walker, Steele",-0.23,3,RF
"Wallner, Matt",0.57,33,RF
"Ward, Taylor",11.74,288,RF
"Waters, Drew",2.52,35,RF
"White, Eli",0.18,1,RF
"Whitefield, Aaron",0.02,3,RF
"Wilson, Marcus",-0.64,3,RF
"Wisdom, Patrick",0.57,8,RF
"Yastrzemski, Mike",4.84,120,RF
"Yepez, Juan",-2.66,26,RF
"Zimmer, Bradley",1.24,5,RF
