,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,-2.734,0.042,-2.807,-2.652,0.001,0.0,3890.0,4838.0,1.0
mu_beta_speed,-25.951,0.253,-26.392,-25.443,0.004,0.003,4549.0,5190.0,1.0
mu_beta_cos,-0.229,0.023,-0.273,-0.188,0.0,0.0,5051.0,5684.0,1.0
mu_beta_sin,-0.244,0.018,-0.278,-0.211,0.0,0.0,5898.0,5645.0,1.0
mu_beta_dist,2.049,0.045,1.965,2.132,0.001,0.0,3754.0,5157.0,1.0
