,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Gonzalez, Marwin]",-2.021,0.245,-2.47,-1.557,0.002,0.003,12175.0,6359.0,1.0
"alpha[Gardner, Brett]",-1.992,0.168,-2.307,-1.669,0.001,0.002,12965.0,6645.0,1.0
"alpha[Hernández, Enrique]",-1.813,0.264,-2.322,-1.333,0.002,0.003,12807.0,5969.0,1.0
"alpha[Schwarber, Kyle]",-2.826,0.215,-3.227,-2.417,0.002,0.002,12882.0,6319.0,1.0
"alpha[Jay, Jon]",-2.319,0.234,-2.768,-1.88,0.002,0.003,14567.0,6891.0,1.0
"alpha[Ethier, Andre]",-2.604,0.498,-3.54,-1.675,0.004,0.006,12831.0,6182.0,1.0
"alpha[Maybin, Cameron]",-1.698,0.195,-2.056,-1.322,0.002,0.002,11427.0,6253.0,1.0
"alpha[Werth, Jayson]",-2.658,0.348,-3.293,-1.998,0.003,0.004,15378.0,6890.0,1.0
"alpha[Zobrist, Ben]",-2.36,0.287,-2.906,-1.829,0.003,0.003,12855.0,6509.0,1.0
"alpha[Kendrick, Howie]",-2.148,0.362,-2.812,-1.47,0.003,0.004,13802.0,6515.0,1.0
"alpha[Jackson, Austin]",-2.179,0.249,-2.65,-1.715,0.002,0.003,13455.0,6382.0,1.0
"alpha[Peralta, David]",-2.786,0.22,-3.182,-2.363,0.002,0.002,12371.0,6087.0,1.0
"alpha[Benintendi, Andrew]",-2.536,0.195,-2.895,-2.169,0.002,0.002,12670.0,6051.0,1.0
"alpha[Chisenhall, Lonnie]",-2.669,0.329,-3.277,-2.047,0.003,0.004,14844.0,6299.0,1.0
"alpha[Duvall, Adam]",-2.829,0.234,-3.268,-2.396,0.002,0.002,13397.0,6713.0,1.0
"alpha[Liriano, Rymer]",-1.952,0.533,-2.988,-0.992,0.005,0.007,13308.0,5555.0,1.0
"alpha[Dickerson, Corey]",-2.007,0.214,-2.416,-1.621,0.002,0.002,12827.0,6771.0,1.0
"alpha[Mancini, Trey]",-2.833,0.239,-3.287,-2.385,0.002,0.002,13527.0,7137.0,1.0
"alpha[Peterson, Jace]",-2.662,0.332,-3.297,-2.053,0.003,0.004,14430.0,6601.0,1.0
"alpha[Suzuki, Ichiro]",-2.595,0.371,-3.32,-1.936,0.003,0.004,13487.0,6056.0,1.0
"alpha[Dietrich, Derek]",-2.963,0.346,-3.579,-2.28,0.003,0.004,13588.0,6383.0,1.0
"alpha[Gordon, Alex]",-2.703,0.194,-3.055,-2.337,0.002,0.002,12995.0,6542.0,1.0
"alpha[Happ, Ian]",-2.033,0.239,-2.47,-1.574,0.002,0.003,12352.0,6576.0,1.0
"alpha[Granderson, Curtis]",-2.196,0.213,-2.582,-1.778,0.002,0.002,13394.0,6686.0,1.0
"alpha[Parra, Gerardo]",-2.744,0.245,-3.204,-2.292,0.002,0.003,12462.0,6292.0,1.0
"alpha[Rosario, Eddie]",-2.746,0.198,-3.11,-2.362,0.002,0.002,13148.0,6683.0,1.0
"alpha[Frazier, Clint]",-2.952,0.308,-3.538,-2.399,0.003,0.003,12832.0,6453.0,1.0
"alpha[Carrera, Ezequiel]",-2.538,0.317,-3.151,-1.955,0.003,0.003,11882.0,6272.0,1.0
"alpha[Gamel, Ben]",-2.342,0.208,-2.731,-1.949,0.002,0.002,13011.0,6504.0,1.0
"alpha[Upton, Justin]",-2.83,0.221,-3.265,-2.43,0.002,0.003,13236.0,5835.0,1.0
"alpha[Blash, Jabari]",-2.579,0.349,-3.23,-1.925,0.003,0.004,13966.0,6842.0,1.0
"alpha[Parker, Jarrett]",-2.611,0.373,-3.325,-1.949,0.003,0.004,13274.0,6326.0,1.0
"alpha[Marte, Starling]",-1.635,0.165,-1.94,-1.32,0.001,0.002,12382.0,6203.0,1.0
"alpha[Davis, Khris]",-2.334,0.284,-2.854,-1.793,0.003,0.003,12671.0,6451.0,1.0
"alpha[Calhoun, Willie]",-2.876,0.323,-3.458,-2.249,0.003,0.003,12851.0,6709.0,1.0
"alpha[Hicks, Aaron]",-1.443,0.18,-1.783,-1.113,0.002,0.002,10846.0,6620.0,1.0
"alpha[Pederson, Joc]",-2.616,0.231,-3.068,-2.199,0.002,0.003,12772.0,6126.0,1.0
"alpha[Reddick, Josh]",-2.588,0.225,-2.991,-2.143,0.002,0.003,12320.0,5814.0,1.0
"alpha[Locastro, Tim]",-2.011,0.301,-2.562,-1.423,0.003,0.004,14128.0,5397.0,1.0
"alpha[Verdugo, Alex]",-1.973,0.245,-2.428,-1.517,0.002,0.003,13339.0,7128.0,1.0
"alpha[Davis, Rajai]",-1.961,0.257,-2.439,-1.472,0.002,0.003,14522.0,6497.0,1.0
"alpha[White, Tyler]",-2.644,0.553,-3.685,-1.612,0.004,0.007,18603.0,5596.0,1.0
"alpha[Adrianza, Ehire]",-2.411,0.445,-3.257,-1.598,0.004,0.005,15007.0,6253.0,1.0
"alpha[Presley, Alex]",-2.347,0.34,-2.957,-1.686,0.003,0.004,14620.0,6383.0,1.0
"alpha[Luplow, Jordan]",-2.687,0.286,-3.225,-2.14,0.002,0.004,15118.0,6331.0,1.0
"alpha[Herrmann, Chris]",-2.586,0.443,-3.445,-1.801,0.004,0.005,13502.0,6537.0,1.0
"alpha[Spangenberg, Cory]",-2.513,0.447,-3.339,-1.654,0.004,0.005,15938.0,5887.0,1.0
"alpha[Jankowski, Travis]",-1.923,0.308,-2.486,-1.325,0.003,0.004,12756.0,6375.0,1.0
"alpha[Rua, Ryan]",-2.253,0.327,-2.832,-1.613,0.003,0.003,14325.0,6847.0,1.0
"alpha[Nimmo, Brandon]",-2.292,0.22,-2.721,-1.892,0.002,0.002,11194.0,6322.0,1.0
"alpha[Altherr, Aaron]",-2.517,0.255,-3.018,-2.063,0.002,0.003,12738.0,6646.0,1.0
"alpha[Braun, Ryan]",-2.956,0.259,-3.442,-2.474,0.002,0.003,12999.0,6266.0,1.0
"alpha[Grichuk, Randal]",-2.359,0.191,-2.721,-2.002,0.002,0.002,13048.0,6352.0,1.0
"alpha[Romine, Andrew]",-2.619,0.319,-3.223,-2.02,0.003,0.003,14970.0,6508.0,1.0
"alpha[Delmonico, Nicky]",-2.342,0.3,-2.916,-1.796,0.003,0.003,14017.0,6644.0,1.0
"alpha[Puello, César]",-1.821,0.345,-2.451,-1.142,0.003,0.004,14251.0,6804.0,1.0
"alpha[Moore, Tyler]",-2.434,0.527,-3.401,-1.409,0.005,0.006,13599.0,6209.0,1.0
"alpha[Johnson, Micah]",-2.388,0.57,-3.464,-1.332,0.004,0.008,17290.0,5486.0,1.0
"alpha[Canha, Mark]",-2.324,0.222,-2.742,-1.919,0.002,0.003,13996.0,6436.0,1.0
"alpha[Pham, Tommy]",-2.431,0.207,-2.813,-2.037,0.002,0.002,12449.0,6286.0,1.0
"alpha[Tauchman, Mike]",-2.327,0.298,-2.885,-1.772,0.003,0.003,12900.0,6652.0,1.0
"alpha[Fisher, Derek]",-1.956,0.299,-2.489,-1.371,0.003,0.003,14389.0,6862.0,1.0
"alpha[Desmond, Ian]",-2.567,0.271,-3.06,-2.05,0.003,0.003,11740.0,6505.0,1.0
"alpha[Aoki, Norichika]",-2.534,0.324,-3.176,-1.965,0.003,0.004,14367.0,6383.0,1.0
"alpha[Sierra, Magneuris]",-2.255,0.305,-2.804,-1.656,0.003,0.003,13665.0,6463.0,1.0
"alpha[Thames, Eric]",-2.685,0.378,-3.392,-1.986,0.003,0.004,16051.0,6342.0,1.0
"alpha[De Aza, Alejandro]",-2.205,0.464,-3.076,-1.344,0.004,0.005,15082.0,6492.0,1.0
"alpha[Almonte, Abraham]",-2.373,0.294,-2.919,-1.825,0.002,0.003,14544.0,6872.0,1.0
"alpha[Gimenez, Chris]",-2.427,0.547,-3.47,-1.441,0.004,0.007,14924.0,5360.0,1.0
"alpha[Garver, Mitch]",-2.297,0.567,-3.285,-1.157,0.004,0.008,17025.0,5599.0,1.0
"alpha[Revere, Ben]",-2.124,0.336,-2.747,-1.479,0.003,0.004,14755.0,6651.0,1.0
"alpha[Adams, Lane]",-2.279,0.378,-2.983,-1.557,0.003,0.004,14287.0,6775.0,1.0
"alpha[Ozuna, Marcell]",-2.857,0.215,-3.283,-2.473,0.002,0.002,12576.0,6606.0,1.0
"alpha[Hernández, Teoscar]",-2.159,0.213,-2.537,-1.748,0.002,0.002,12136.0,6756.0,1.0
"alpha[Rickard, Joey]",-1.543,0.233,-1.98,-1.099,0.002,0.002,13885.0,6793.0,1.0
"alpha[Lind, Adam]",-2.48,0.435,-3.303,-1.671,0.004,0.005,13224.0,5629.0,1.0
"alpha[Young, Chris]",-2.718,0.344,-3.348,-2.063,0.003,0.004,15469.0,6315.0,1.0
"alpha[Bellinger, Cody]",-1.78,0.207,-2.189,-1.414,0.002,0.002,12834.0,5826.0,1.0
"alpha[Mazara, Nomar]",-2.908,0.217,-3.313,-2.501,0.002,0.003,13474.0,6210.0,1.0
"alpha[Hoskins, Rhys]",-2.815,0.293,-3.378,-2.282,0.003,0.003,12542.0,6484.0,1.0
"alpha[Bourjos, Peter]",-1.323,0.326,-1.933,-0.722,0.003,0.004,13698.0,6638.0,1.0
"alpha[Negrón, Kristopher]",-2.322,0.425,-3.118,-1.515,0.004,0.005,14220.0,6024.0,1.0
"alpha[Williamson, Mac]",-2.576,0.318,-3.15,-1.968,0.003,0.004,13836.0,6264.0,1.0
"alpha[DeShields, Delino]",-1.627,0.169,-1.962,-1.323,0.002,0.002,12133.0,6024.0,1.0
"alpha[Granite, Zack]",-1.463,0.369,-2.17,-0.782,0.003,0.004,13715.0,6427.0,1.0
"alpha[Kemp, Tony]",-2.391,0.293,-2.943,-1.84,0.002,0.003,14186.0,6182.0,1.0
"alpha[Ervin, Phillip]",-2.372,0.256,-2.856,-1.902,0.002,0.003,12603.0,6728.0,1.0
"alpha[Cabrera, Melky]",-3.494,0.27,-3.98,-2.97,0.002,0.003,12354.0,6998.0,1.0
"alpha[Smolinski, Jake]",-1.735,0.387,-2.449,-1.002,0.003,0.004,14070.0,6569.0,1.0
"alpha[García, Willy]",-2.162,0.397,-2.933,-1.444,0.003,0.005,14518.0,5718.0,1.0
"alpha[Haniger, Mitch]",-1.925,0.194,-2.319,-1.59,0.002,0.002,12057.0,6513.0,1.0
"alpha[Joyce, Matt]",-2.827,0.266,-3.322,-2.329,0.002,0.003,13889.0,6587.0,1.0
"alpha[Collins, Tyler]",-1.925,0.354,-2.593,-1.258,0.003,0.004,13756.0,6415.0,1.0
"alpha[Mahtook, Mikie]",-2.16,0.252,-2.633,-1.682,0.002,0.003,13269.0,5776.0,1.0
"alpha[Gore, Terrance]",-1.872,0.395,-2.603,-1.105,0.003,0.004,13861.0,6562.0,1.0
"alpha[Bader, Harrison]",-1.537,0.177,-1.872,-1.214,0.002,0.002,11595.0,6657.0,1.0
"alpha[Hernández, Gorkys]",-2.313,0.234,-2.756,-1.873,0.002,0.003,12922.0,5902.0,1.0
"alpha[Winker, Jesse]",-3.098,0.28,-3.618,-2.572,0.003,0.003,12167.0,6282.0,1.0
"alpha[Smith, Mallex]",-1.228,0.165,-1.533,-0.915,0.002,0.002,11991.0,6901.0,1.0
"alpha[Szczur, Matt]",-2.218,0.351,-2.871,-1.56,0.003,0.004,15244.0,6699.0,1.0
"alpha[Allen, Greg]",-2.168,0.239,-2.619,-1.717,0.002,0.003,12755.0,6542.0,1.0
