,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Robinson, Drew]",-2.536,0.351,-3.208,-1.887,0.003,0.004,15205.0,6641.0,1.0
"alpha[Kivlehan, Patrick]",-2.32,0.395,-3.018,-1.55,0.003,0.004,14605.0,6495.0,1.0
"alpha[Kemp, Matt]",-3.206,0.28,-3.731,-2.685,0.002,0.003,12910.0,6777.0,1.0
"alpha[Slater, Austin]",-2.556,0.288,-3.092,-2.018,0.002,0.004,14842.0,6048.0,1.0
"alpha[Motter, Taylor]",-2.272,0.456,-3.094,-1.393,0.004,0.006,13518.0,5563.0,1.0
"alpha[Martin, Leonys]",-1.708,0.228,-2.149,-1.294,0.002,0.002,13233.0,6062.0,1.0
"alpha[Saunders, Michael]",-2.695,0.369,-3.405,-2.017,0.003,0.004,15282.0,6887.0,1.0
"alpha[Blanco, Grégor]",-2.233,0.3,-2.807,-1.678,0.003,0.003,13666.0,6411.0,1.0
"alpha[Núñez, Renato]",-2.6,0.529,-3.531,-1.55,0.004,0.007,15479.0,6170.0,1.0
"alpha[Guyer, Brandon]",-2.258,0.305,-2.809,-1.662,0.003,0.004,13997.0,6213.0,1.0
"alpha[Pirela, José]",-2.175,0.312,-2.752,-1.59,0.003,0.004,13230.0,6436.0,1.0
"alpha[Kim, Hyun Soo]",-2.475,0.346,-3.148,-1.848,0.003,0.004,14885.0,6497.0,1.0
"alpha[Berry, Quintin]",-2.152,0.56,-3.167,-1.077,0.004,0.007,16327.0,5766.0,1.0
"alpha[Phillips, Brett]",-1.631,0.245,-2.098,-1.182,0.002,0.003,14226.0,6709.0,1.0
"alpha[Hanson, Alen]",-2.776,0.381,-3.479,-2.07,0.003,0.004,14273.0,6409.0,1.0
"alpha[Bryant, Kris]",-2.481,0.35,-3.154,-1.842,0.003,0.004,14269.0,6355.0,1.0
"alpha[Adams, Matt]",-2.81,0.45,-3.662,-1.962,0.004,0.005,15406.0,5713.0,1.0
"alpha[Tapia, Raimel]",-2.772,0.292,-3.312,-2.214,0.003,0.003,13605.0,6577.0,1.0
"alpha[Bostick, Christopher]",-2.368,0.544,-3.379,-1.365,0.004,0.007,19696.0,6214.0,1.0
"alpha[Wade, Tyler]",-2.829,0.433,-3.62,-2.011,0.004,0.005,15004.0,6604.0,1.0
"alpha[Fuentes, Rey]",-1.864,0.393,-2.572,-1.101,0.003,0.004,14183.0,6479.0,1.0
"alpha[Pearce, Steve]",-2.51,0.305,-3.061,-1.921,0.003,0.003,13815.0,6156.0,1.0
"alpha[Dickson, O'Koyea]",-2.306,0.541,-3.301,-1.243,0.004,0.007,16484.0,5128.0,1.0
"alpha[Pérez, Hernán]",-2.65,0.315,-3.241,-2.053,0.003,0.003,12302.0,6180.0,1.0
"alpha[Reynolds, Matt]",-2.503,0.504,-3.438,-1.546,0.004,0.006,14513.0,5997.0,1.0
"alpha[Forsythe, Logan]",-2.332,0.547,-3.355,-1.296,0.004,0.007,18375.0,5920.0,1.0
"alpha[Heredia, Guillermo]",-2.062,0.196,-2.432,-1.696,0.002,0.002,12740.0,6711.0,1.0
"alpha[Holt, Brock]",-2.525,0.405,-3.306,-1.81,0.003,0.005,14982.0,6454.0,1.0
"alpha[Reyes, José]",-2.416,0.563,-3.492,-1.402,0.005,0.008,15129.0,5499.0,1.0
"alpha[Nava, Daniel]",-2.665,0.383,-3.351,-1.928,0.003,0.005,15567.0,5884.0,1.0
"alpha[García, Leury]",-2.057,0.223,-2.476,-1.654,0.002,0.002,12674.0,6662.0,1.0
"alpha[Gallo, Joey]",-2.276,0.222,-2.7,-1.872,0.002,0.002,11951.0,6766.0,1.0
"alpha[Moss, Brandon]",-2.373,0.545,-3.327,-1.292,0.004,0.007,16228.0,5637.0,1.0
"alpha[Martínez, José A.]",-3.246,0.298,-3.781,-2.669,0.003,0.003,13123.0,6526.0,1.0
"alpha[Valaika, Pat]",-2.182,0.536,-3.251,-1.222,0.004,0.007,15930.0,5413.0,1.0
"alpha[Frazier, Adam]",-2.538,0.305,-3.115,-1.979,0.002,0.004,15375.0,7031.0,1.0
"alpha[Cespedes, Yoenis]",-3.128,0.318,-3.733,-2.541,0.003,0.004,13482.0,5946.0,1.0
"alpha[Rodríguez, Sean]",-2.413,0.359,-3.082,-1.739,0.003,0.004,13151.0,6309.0,1.0
"alpha[Florimón, Pedro]",-2.15,0.501,-3.103,-1.239,0.004,0.006,14705.0,6014.0,1.0
"alpha[Gentry, Craig]",-2.415,0.327,-3.048,-1.832,0.003,0.003,13055.0,6936.0,1.0
"alpha[Smith, Seth]",-2.646,0.335,-3.272,-2.011,0.003,0.004,14275.0,5871.0,1.0
"alpha[Santana, Danny]",-2.578,0.322,-3.177,-1.978,0.003,0.004,13723.0,6551.0,1.0
"alpha[Conforto, Michael]",-2.227,0.175,-2.557,-1.896,0.002,0.002,12552.0,6194.0,1.0
"alpha[Amarista, Alexi]",-2.602,0.506,-3.521,-1.653,0.004,0.006,14896.0,6317.0,1.0
"alpha[Tomlinson, Kelby]",-2.397,0.541,-3.45,-1.38,0.004,0.007,15374.0,6363.0,1.0
"alpha[Taylor, Chris]",-1.983,0.228,-2.408,-1.564,0.002,0.003,13524.0,6320.0,1.0
"alpha[Descalso, Daniel]",-2.659,0.413,-3.42,-1.862,0.004,0.005,13833.0,6373.0,1.0
"alpha[Gennett, Scooter]",-2.22,0.448,-3.055,-1.4,0.004,0.005,16304.0,5955.0,1.0
"alpha[Stevenson, Andrew]",-2.063,0.348,-2.685,-1.383,0.003,0.004,13643.0,6284.0,1.0
"alpha[Brantley, Michael]",-2.784,0.214,-3.179,-2.381,0.002,0.002,14280.0,6835.0,1.0
"alpha[Perkins, Cameron]",-2.43,0.406,-3.172,-1.658,0.003,0.005,15766.0,6364.0,1.0
"alpha[Robinson, Shane]",-1.563,0.369,-2.256,-0.867,0.003,0.004,12357.0,6589.0,1.0
"alpha[Contreras, Willson]",-2.094,0.514,-3.025,-1.077,0.004,0.007,15803.0,5462.0,1.0
"alpha[Williams, Nick]",-2.827,0.276,-3.337,-2.3,0.002,0.003,12653.0,6241.0,1.0
"alpha[Pinder, Chad]",-2.477,0.274,-2.998,-1.975,0.002,0.003,13247.0,6147.0,1.0
"alpha[Beltrán, Carlos]",-2.27,0.55,-3.271,-1.229,0.004,0.007,20386.0,5959.0,1.0
"alpha[Goodwin, Brian]",-2.404,0.222,-2.81,-1.99,0.002,0.003,12583.0,6176.0,1.0
"alpha[Difo, Wilmer]",-2.277,0.532,-3.297,-1.298,0.004,0.007,14611.0,5414.0,1.0
"alpha[Alcántara, Arismendy]",-2.189,0.46,-3.097,-1.355,0.004,0.005,13516.0,6132.0,1.0
"alpha[Heisey, Chris]",-2.344,0.461,-3.209,-1.484,0.004,0.005,15051.0,6627.0,1.0
"alpha[Cordero, Franchy]",-2.156,0.311,-2.742,-1.571,0.003,0.003,13371.0,6612.0,1.0
"alpha[Thompson, Trayce]",-1.855,0.311,-2.437,-1.281,0.003,0.003,13665.0,6560.0,1.0
"alpha[Raburn, Ryan]",-2.485,0.484,-3.359,-1.558,0.004,0.006,14067.0,5930.0,1.0
"alpha[Peterson, Shane]",-2.072,0.452,-2.904,-1.21,0.004,0.005,14372.0,6487.0,1.0
"alpha[Grossman, Robbie]",-2.955,0.243,-3.388,-2.488,0.002,0.003,12376.0,6473.0,1.0
"alpha[Jaso, John]",-2.888,0.369,-3.566,-2.183,0.003,0.004,13523.0,5724.0,1.0
"alpha[Córdoba, Allen]",-2.304,0.429,-3.103,-1.497,0.004,0.005,14456.0,5502.0,1.0
"alpha[Merrifield, Whit]",-2.404,0.261,-2.884,-1.911,0.002,0.003,12567.0,5727.0,1.0
"alpha[Soler, Jorge]",-2.501,0.279,-3.022,-1.983,0.002,0.003,13159.0,6762.0,1.0
"alpha[Harrison, Josh]",-2.469,0.464,-3.332,-1.607,0.003,0.006,17188.0,6134.0,1.0
"alpha[Young Jr., Eric]",-1.888,0.295,-2.465,-1.367,0.002,0.003,14046.0,6790.0,1.0
"alpha[Rivera, T.J.]",-2.195,0.569,-3.265,-1.137,0.004,0.008,17517.0,5174.0,1.0
"alpha[Osuna, José]",-2.984,0.349,-3.614,-2.295,0.003,0.004,14553.0,6732.0,1.0
"alpha[den Dekker, Matthew]",-2.179,0.467,-3.057,-1.331,0.004,0.006,13225.0,5650.0,1.0
"alpha[Jones, Ryder]",-2.36,0.572,-3.44,-1.308,0.004,0.007,17414.0,5811.0,1.0
"alpha[Refsnyder, Rob]",-2.07,0.407,-2.796,-1.267,0.003,0.005,16197.0,6177.0,1.0
"alpha[Smith Jr., Dwight]",-2.876,0.295,-3.421,-2.315,0.002,0.003,14520.0,6657.0,1.0
"alpha[Robertson, Daniel]",-2.396,0.405,-3.146,-1.63,0.003,0.005,17020.0,5471.0,1.0
"alpha[Franklin, Nick]",-2.871,0.461,-3.759,-2.004,0.004,0.006,15155.0,6048.0,1.0
"alpha[Gutierrez, Franklin]",-2.558,0.49,-3.49,-1.662,0.004,0.006,15008.0,6344.0,1.0
"alpha[Brinson, Lewis]",-1.735,0.226,-2.144,-1.299,0.002,0.003,10864.0,5988.0,1.0
"alpha[Vogt, Stephen]",-2.105,0.495,-3.028,-1.167,0.004,0.006,14279.0,5761.0,1.0
"alpha[Belt, Brandon]",-2.947,0.417,-3.721,-2.159,0.003,0.005,14494.0,6366.0,1.0
"alpha[González, Erik]",-2.451,0.529,-3.459,-1.483,0.004,0.007,15984.0,5588.0,1.0
"alpha[Brugman, Jaycob]",-2.201,0.32,-2.801,-1.608,0.003,0.004,14592.0,5787.0,1.0
"alpha[Kelly, Ty]",-2.576,0.494,-3.483,-1.621,0.004,0.006,13279.0,5882.0,1.0
"alpha[Gyorko, Jedd]",-2.3,0.585,-3.388,-1.19,0.005,0.008,15563.0,5738.0,1.0
"alpha[Hazelbaker, Jeremy]",-2.042,0.487,-2.991,-1.15,0.004,0.006,14325.0,6293.0,1.0
"alpha[Rasmus, Colby]",-2.076,0.374,-2.789,-1.382,0.003,0.004,16107.0,6501.0,1.0
"alpha[Camargo, Johan]",-2.465,0.49,-3.352,-1.536,0.004,0.006,14266.0,5897.0,1.0
"alpha[Calixte, Orlando]",-2.342,0.478,-3.224,-1.414,0.004,0.006,15382.0,6202.0,1.0
"alpha[Barney, Darwin]",-2.26,0.568,-3.315,-1.162,0.004,0.007,16085.0,5502.0,1.0
"alpha[Coghlan, Chris]",-2.658,0.526,-3.624,-1.648,0.004,0.007,15529.0,6350.0,1.0
"alpha[Powell, Boog]",-2.175,0.369,-2.878,-1.497,0.003,0.004,14517.0,6329.0,1.0
"alpha[Martinez, Michael]",-2.312,0.558,-3.386,-1.26,0.004,0.007,17489.0,6022.0,1.0
"alpha[Eibner, Brett]",-2.32,0.508,-3.295,-1.385,0.004,0.006,16562.0,6252.0,1.0
"alpha[Tomás, Yasmany]",-2.494,0.434,-3.307,-1.691,0.004,0.005,14206.0,5998.0,1.0
"alpha[Núñez, Eduardo]",-2.906,0.416,-3.668,-2.118,0.003,0.005,14294.0,6293.0,1.0
"alpha[Owings, Chris]",-2.303,0.31,-2.891,-1.724,0.003,0.003,13423.0,6343.0,1.0
"alpha[Marte, Jefry]",-2.506,0.528,-3.501,-1.52,0.004,0.007,16426.0,5990.0,1.0
"alpha[Ortiz, Danny]",-2.5,0.556,-3.53,-1.422,0.004,0.007,16898.0,6167.0,1.0
"alpha[Bonifacio, Jorge]",-2.621,0.256,-3.116,-2.153,0.002,0.003,13289.0,6736.0,1.0
"alpha[Escobar, Eduardo]",-2.535,0.548,-3.507,-1.46,0.004,0.007,15741.0,6037.0,1.0
"alpha[Ceciliani, Darrell]",-2.288,0.578,-3.319,-1.16,0.004,0.007,19404.0,5957.0,1.0
"alpha[Morse, Michael]",-2.561,0.56,-3.572,-1.519,0.004,0.007,18029.0,5681.0,1.0
"alpha[Ruggiano, Justin]",-2.762,0.421,-3.605,-2.028,0.004,0.005,14058.0,6537.0,1.0
"alpha[Alford, Anthony]",-2.253,0.438,-3.032,-1.381,0.004,0.005,15040.0,6816.0,1.0
"alpha[Sogard, Eric]",-2.1,0.541,-3.141,-1.117,0.005,0.007,14089.0,5738.0,1.0
"alpha[Marisnick, Jake]",-1.664,0.225,-2.085,-1.243,0.002,0.002,12832.0,6565.0,1.0
"alpha[Van Slyke, Scott]",-2.477,0.531,-3.474,-1.49,0.004,0.007,15658.0,5505.0,1.0
"alpha[Díaz, Yandy]",-2.138,0.558,-3.147,-1.05,0.004,0.008,15612.0,5678.0,1.0
"alpha[Toles, Andrew]",-1.973,0.412,-2.752,-1.205,0.003,0.005,15056.0,6491.0,1.0
"alpha[Polanco, Gregory]",-2.578,0.221,-3.001,-2.172,0.002,0.002,11901.0,6695.0,1.0
"alpha[Stassi, Brock]",-2.331,0.583,-3.41,-1.217,0.005,0.008,16694.0,5551.0,1.0
"alpha[Díaz, Aledmys]",-2.314,0.535,-3.3,-1.267,0.004,0.007,16294.0,5717.0,1.0
"alpha[Decker, Jaff]",-1.88,0.445,-2.695,-1.032,0.003,0.006,17356.0,6119.0,1.0
"alpha[Flaherty, Ryan]",-2.248,0.507,-3.195,-1.293,0.004,0.007,17589.0,5879.0,1.0
"alpha[Profar, Jurickson]",-1.959,0.347,-2.575,-1.275,0.003,0.004,14748.0,6643.0,1.0
"alpha[Eaton, Adam]",-2.543,0.212,-2.946,-2.147,0.002,0.002,12554.0,6043.0,1.0
"alpha[Marrero, Chris]",-1.947,0.522,-2.919,-0.949,0.004,0.007,15578.0,5688.0,1.0
"alpha[May, Jacob]",-2.449,0.466,-3.282,-1.562,0.004,0.006,15503.0,6298.0,1.0
"alpha[Dyson, Jarrod]",-2.027,0.207,-2.398,-1.631,0.002,0.002,12950.0,6494.0,1.0
"alpha[Bonifácio, Emilio]",-2.398,0.507,-3.377,-1.475,0.004,0.006,14647.0,5813.0,1.0
"alpha[Hill, Aaron]",-2.342,0.561,-3.402,-1.315,0.004,0.007,18027.0,5796.0,1.0
"alpha[Cardullo, Stephen]",-1.949,0.512,-2.889,-0.979,0.004,0.007,18168.0,6321.0,1.0
"alpha[d'Arnaud, Chase]",-2.317,0.573,-3.396,-1.249,0.004,0.008,16988.0,5804.0,1.0
"alpha[Nieuwenhuis, Kirk]",-2.336,0.505,-3.289,-1.356,0.004,0.007,16631.0,5616.0,1.0
"alpha[Rosales, Adam]",-2.515,0.554,-3.546,-1.466,0.004,0.007,19053.0,5866.0,1.0
"alpha[Soto, Juan]",-2.051,0.2,-2.422,-1.678,0.002,0.002,14071.0,6577.0,1.0
"alpha[Dahl, David]",-2.378,0.25,-2.835,-1.898,0.002,0.003,11647.0,6453.0,1.0
"alpha[McKinney, Billy]",-2.421,0.326,-3.022,-1.803,0.003,0.004,14828.0,6833.0,1.0
"alpha[O'Neill, Tyler]",-2.411,0.302,-2.987,-1.864,0.003,0.003,12427.0,6831.0,1.0
"alpha[Reyes, Pablo]",-2.217,0.356,-2.87,-1.533,0.003,0.004,14286.0,7049.0,1.0
"alpha[Schebler, Scott]",-2.613,0.24,-3.065,-2.172,0.002,0.003,13535.0,6115.0,1.0
"alpha[Martini, Nick]",-2.554,0.341,-3.188,-1.909,0.003,0.004,14363.0,6680.0,1.0
"alpha[Galloway, Isaac]",-1.834,0.391,-2.55,-1.104,0.003,0.004,14145.0,6243.0,1.0
"alpha[Martinez, J.D.]",-2.807,0.271,-3.324,-2.304,0.002,0.003,13084.0,6449.0,1.0
"alpha[Stewart, DJ]",-3.057,0.347,-3.694,-2.418,0.003,0.004,14934.0,6476.0,1.0
"alpha[Tucker, Kyle]",-2.587,0.334,-3.202,-1.952,0.003,0.004,13197.0,6460.0,1.0
"alpha[Cozens, Dylan]",-2.868,0.48,-3.754,-1.956,0.004,0.006,15269.0,6434.0,1.0
"alpha[Acuña Jr., Ronald]",-2.022,0.207,-2.404,-1.632,0.002,0.002,13532.0,6906.0,1.0
"alpha[Herrera, Odúbel]",-1.264,0.179,-1.616,-0.946,0.002,0.002,12688.0,6900.0,1.0
"alpha[Renfroe, Hunter]",-2.694,0.222,-3.128,-2.295,0.002,0.003,13337.0,5747.0,1.0
"alpha[McCutchen, Andrew]",-2.454,0.194,-2.808,-2.079,0.002,0.002,12891.0,6733.0,1.0
