,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,-2.318,0.04,-2.391,-2.244,0.001,0.0,5337.0,6281.0,1.0
mu_beta_speed,-19.023,0.195,-19.381,-18.649,0.002,0.002,6983.0,6212.0,1.0
mu_beta_cos,-0.28,0.016,-0.312,-0.249,0.0,0.0,7886.0,6407.0,1.0
mu_beta_sin,-0.107,0.013,-0.132,-0.082,0.0,0.0,9384.0,6620.0,1.0
mu_beta_dist,1.732,0.036,1.663,1.796,0.0,0.0,7000.0,6515.0,1.0
