,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[García, Leury]",-1.833,0.209,-2.233,-1.447,0.002,0.002,14371.0,6428.0,1.0
"alpha[Rodríguez, Ronny]",-2.186,0.51,-3.118,-1.227,0.004,0.007,19088.0,5363.0,1.0
"alpha[Rickard, Joey]",-1.281,0.315,-1.862,-0.665,0.003,0.004,15075.0,6567.0,1.0
"alpha[Lopes, Tim]",-2.506,0.336,-3.125,-1.874,0.003,0.004,14125.0,5968.0,1.0
"alpha[Ervin, Phillip]",-1.598,0.268,-2.091,-1.092,0.002,0.003,14416.0,6683.0,1.0
"alpha[Luplow, Jordan]",-2.484,0.233,-2.927,-2.052,0.002,0.003,13559.0,6079.0,1.0
"alpha[Kramer, Kevin]",-2.265,0.448,-3.068,-1.375,0.004,0.006,15321.0,5696.0,1.0
"alpha[Nimmo, Brandon]",-1.663,0.169,-1.989,-1.351,0.002,0.002,12421.0,6727.0,1.0
"alpha[McNeil, Jeff]",-2.317,0.244,-2.79,-1.869,0.002,0.003,13910.0,6996.0,1.0
"alpha[Cordell, Ryan]",-1.904,0.283,-2.415,-1.354,0.002,0.004,15215.0,6556.0,1.0
"alpha[Benintendi, Andrew]",-2.235,0.182,-2.585,-1.892,0.002,0.002,12744.0,6407.0,1.0
"alpha[Yastrzemski, Mike]",-2.149,0.169,-2.464,-1.837,0.001,0.002,13576.0,6702.0,1.0
"alpha[Moore, Dylan]",-2.263,0.248,-2.727,-1.796,0.002,0.003,15278.0,5816.0,1.0
"alpha[Brown, Seth]",-1.918,0.224,-2.343,-1.495,0.002,0.002,12534.0,6759.0,1.0
"alpha[Naylor, Josh]",-2.525,0.256,-3.011,-2.045,0.002,0.003,15230.0,6078.0,1.0
"alpha[Kemp, Tony]",-1.928,0.244,-2.384,-1.472,0.002,0.003,14284.0,6409.0,1.0
"alpha[Parra, Gerardo]",-2.269,0.308,-2.847,-1.68,0.003,0.004,14744.0,6491.0,1.0
"alpha[Miller, Ian]",-2.145,0.434,-2.966,-1.355,0.004,0.006,15418.0,5443.0,1.0
"alpha[Dixon, Brandon]",-2.142,0.378,-2.834,-1.45,0.003,0.004,17922.0,6602.0,1.0
"alpha[Fletcher, David]",-1.977,0.37,-2.674,-1.281,0.003,0.004,14442.0,6338.0,1.0
"alpha[Tucker, Kyle]",-2.202,0.19,-2.571,-1.851,0.002,0.002,13709.0,6001.0,1.0
"alpha[Hermosillo, Michael]",-1.826,0.299,-2.38,-1.261,0.002,0.004,16289.0,6492.0,1.0
"alpha[Smith Jr., Dwight]",-2.542,0.29,-3.09,-2.003,0.002,0.003,14421.0,6198.0,1.0
"alpha[Heineman, Scott]",-2.15,0.325,-2.782,-1.555,0.003,0.004,15157.0,6607.0,1.0
"alpha[Wade, Tyler]",-2.345,0.343,-2.962,-1.671,0.003,0.004,14634.0,6185.0,1.0
"alpha[Pinder, Chad]",-2.153,0.218,-2.551,-1.746,0.002,0.002,13442.0,6347.0,1.0
"alpha[Hilliard, Sam]",-2.239,0.225,-2.654,-1.819,0.002,0.002,14272.0,7008.0,1.0
"alpha[Martini, Nick]",-2.034,0.35,-2.691,-1.389,0.003,0.004,15512.0,6977.0,1.0
"alpha[Haseley, Adam]",-2.036,0.25,-2.507,-1.563,0.002,0.003,14655.0,6194.0,1.0
"alpha[Rosario, Eddie]",-2.137,0.178,-2.472,-1.807,0.002,0.002,12446.0,6304.0,1.0
"alpha[Wilkerson, Stevie]",-1.767,0.263,-2.268,-1.275,0.002,0.003,13769.0,6580.0,1.0
"alpha[Desmond, Ian]",-2.283,0.273,-2.782,-1.752,0.002,0.003,14493.0,6144.0,1.0
"alpha[Arraez, Luis]",-2.627,0.345,-3.271,-1.993,0.003,0.004,12376.0,6400.0,1.0
"alpha[O'Neill, Tyler]",-2.555,0.226,-2.98,-2.133,0.002,0.003,14371.0,5451.0,1.0
"alpha[Fisher, Derek]",-2.013,0.354,-2.703,-1.385,0.003,0.004,14589.0,6443.0,1.0
"alpha[González, Erik]",-2.293,0.478,-3.184,-1.396,0.004,0.006,17523.0,5701.0,1.0
"alpha[Peraza, José]",-2.279,0.404,-3.032,-1.513,0.004,0.005,12371.0,6144.0,1.0
"alpha[Reyes, Pablo]",-2.191,0.343,-2.815,-1.537,0.003,0.004,16197.0,6570.0,1.0
"alpha[Heredia, Guillermo]",-1.812,0.203,-2.186,-1.419,0.002,0.002,14099.0,6871.0,1.0
"alpha[Holt, Brock]",-2.394,0.406,-3.141,-1.637,0.003,0.005,17404.0,6754.0,1.0
"alpha[Pirela, José]",-2.145,0.47,-3.048,-1.28,0.003,0.006,19223.0,5470.0,1.0
"alpha[Merrifield, Whit]",-2.25,0.231,-2.675,-1.821,0.002,0.003,12202.0,6654.0,1.0
"alpha[Bishop, Braden]",-1.63,0.356,-2.296,-0.953,0.003,0.004,15736.0,6538.0,1.0
"alpha[Alford, Anthony]",-2.18,0.296,-2.717,-1.611,0.002,0.003,14618.0,6156.0,1.0
"alpha[McKinney, Billy]",-2.102,0.261,-2.599,-1.632,0.002,0.003,15201.0,6502.0,1.0
"alpha[Locastro, Tim]",-2.005,0.245,-2.471,-1.562,0.002,0.003,15135.0,6901.0,1.0
"alpha[Gurriel Jr., Lourdes]",-2.263,0.195,-2.636,-1.904,0.002,0.002,12248.0,6588.0,1.0
"alpha[Santander, Anthony]",-2.765,0.201,-3.139,-2.387,0.002,0.002,14105.0,6354.0,1.0
"alpha[Berti, Jon]",-1.761,0.281,-2.292,-1.226,0.002,0.003,13755.0,6727.0,1.0
"alpha[Stubbs, Garrett]",-2.054,0.497,-2.965,-1.092,0.004,0.007,14958.0,4924.0,1.0
"alpha[Reyes, Victor]",-1.997,0.197,-2.372,-1.637,0.002,0.002,13739.0,6848.0,1.0
"alpha[Rios, Edwin]",-2.172,0.517,-3.141,-1.223,0.004,0.007,18211.0,5848.0,1.0
"alpha[Castellanos, Nick]",-2.621,0.175,-2.946,-2.3,0.002,0.002,12398.0,6544.0,1.0
"alpha[Davis, Johnny]",-2.207,0.503,-3.151,-1.272,0.004,0.007,18649.0,5461.0,1.0
"alpha[Phillips, Brett]",-1.678,0.201,-2.051,-1.299,0.002,0.002,12635.0,5936.0,1.0
"alpha[Grisham, Trent]",-1.126,0.16,-1.423,-0.825,0.001,0.002,12521.0,6484.0,1.0
"alpha[Vogt, Stephen]",-1.875,0.473,-2.715,-0.935,0.003,0.006,18978.0,5120.0,1.0
"alpha[Dickerson, Corey]",-1.858,0.202,-2.24,-1.485,0.002,0.002,14092.0,6716.0,1.0
"alpha[Camargo, Johan]",-2.228,0.449,-3.093,-1.4,0.003,0.006,18504.0,5044.0,1.0
"alpha[Williams, Mason]",-1.944,0.391,-2.672,-1.21,0.003,0.005,17228.0,6346.0,1.0
"alpha[Rodríguez, Sean]",-2.058,0.428,-2.866,-1.268,0.003,0.006,16139.0,5941.0,1.0
"alpha[Tauchman, Mike]",-1.915,0.234,-2.364,-1.486,0.002,0.003,15056.0,5847.0,1.0
"alpha[Slater, Austin]",-1.696,0.206,-2.072,-1.298,0.002,0.002,12865.0,6330.0,1.0
"alpha[Smith, Mallex]",-1.059,0.217,-1.46,-0.647,0.002,0.002,12770.0,6449.0,1.0
"alpha[Herrmann, Chris]",-2.174,0.522,-3.153,-1.207,0.004,0.007,18043.0,5483.0,1.0
"alpha[Upton, Justin]",-2.894,0.261,-3.394,-2.415,0.002,0.003,12354.0,5956.0,1.0
"alpha[Goodwin, Brian]",-2.218,0.202,-2.599,-1.838,0.002,0.002,12780.0,6426.0,1.0
"alpha[Ortega, Rafael]",-2.119,0.228,-2.572,-1.713,0.002,0.002,12877.0,6348.0,1.0
"alpha[Riley, Austin]",-2.3,0.302,-2.869,-1.738,0.003,0.003,14002.0,6505.0,1.0
"alpha[Reynolds, Bryan]",-1.908,0.154,-2.204,-1.62,0.001,0.002,14285.0,5584.0,1.0
"alpha[Davis, Jonathan]",-1.326,0.244,-1.762,-0.857,0.002,0.002,13067.0,6593.0,1.0
"alpha[Profar, Jurickson]",-2.507,0.23,-2.946,-2.08,0.002,0.003,13520.0,6339.0,1.0
"alpha[Dietrich, Derek]",-2.131,0.45,-2.966,-1.287,0.003,0.006,16821.0,4718.0,1.0
"alpha[Starling, Bubba]",-1.91,0.275,-2.44,-1.408,0.002,0.004,15149.0,6150.0,1.0
"alpha[Broxton, Keon]",-1.22,0.277,-1.73,-0.685,0.002,0.003,13075.0,6397.0,1.0
"alpha[O'Grady, Brian]",-1.771,0.397,-2.507,-1.011,0.003,0.005,17649.0,6090.0,1.0
"alpha[Stewart, DJ]",-2.876,0.271,-3.389,-2.381,0.002,0.003,14329.0,6547.0,1.0
"alpha[Bryant, Kris]",-2.795,0.257,-3.274,-2.305,0.002,0.003,15852.0,6479.0,1.0
